Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Discountable,Product Type,Product Tag 1,Product Tag 2,Product Tag 3,Variant Title,Variant Sku,Variant Barcode,Variant Manage Inventory,Variant Allow Backorder,Variant Option 1 Name,Variant Option 1 Value,Variant Price GBP,Shipping Profile Id
4567660527688,Soya Chunks 700g,,,published,./images/natco_soya-chunks-700g.jpg,700,TRUE,Soya,kheema,,,Default,R7360,,TRUE,FALSE,Weight/Size,Default,4.6,default
6647387652168,Black Eyed Beans 400g,,,published,./images/natco_black-eyed-beans-400g.jpg,400,TRUE,"Tinned Lentils, Beans",black eyed pea,cowpea,gram,Default,C2330,,TRUE,FALSE,Weight/Size,Default,0.65,default
6579342409800,White Kidney Beans 400g,,,published,./images/natco_white-kidney-beans-400g.jpg,400,TRUE,"Tinned Lentils, Beans",beans,white kidney,,Default,C2350,,TRUE,FALSE,Weight/Size,Default,0.65,default
6579337887816,White Kidney Beans Boiled Full Case 12x400g,,,published,./images/natco_white-kidney-beans-boiled-full-case-12x400g.jpg,5480,TRUE,"Tinned Lentils, Beans",beans,white kidney,,Default,C2350,,TRUE,FALSE,Weight/Size,Default,7.35,default
6535757660232,Bhel Puri Kit 500g,,,published,./images/natco_bhel-puri-kit-500g.jpg,500,TRUE,Daria Lentil Snack,Christmas,gram flour,meal kit,Default,C7510,,TRUE,FALSE,Weight/Size,Default,3.8,default
4583223754824,Chick Peas Full Case 4x1kg,,"Our products are manufactured in a site that handles gluten, soya,./images/natco_chick-peas-full-case-4x1kg.jpg, nuts, peanuts, sesame, mustard, celery and sulphites.",published,https://cdn.shopify.com/s/files/1/0280/6336/7240/products/L3158_CHICK_PEAS_1KG_M_-_Copy_075a5fc9-33ef-4506-9f17-978d7212ea65.jpg?v=1590426501,4200,TRUE,Lentils,bengal gram,daal,garbanzo,Default,L3158,,TRUE,FALSE,Weight/Size,Default,10.55,default
4583223394376,Red Kidney Beans 2.5kg,,,published,./images/natco_red-kidney-beans-25kg.jpg,2500,TRUE,"Tinned Lentils, Beans",rajma,razma,red rajma,Default,C2305,,TRUE,FALSE,Weight/Size,Default,4.45,default
4583223361608,Red Kidney Beans Boiled Full Case 12x400g,,,published,./images/natco_red-kidney-beans-boiled-full-case-12x400g.jpg,5480,TRUE,"Tinned Lentils, Beans",rajma,razma,red rajma,Default,C2300,,TRUE,FALSE,Weight/Size,Default,7.35,default
4583223328840,Red Kidney Beans 400g,,,published,./images/natco_red-kidney-beans-400g.jpg,400,TRUE,"Tinned Lentils, Beans",rajma,razma,red rajma,Default,C2300,,TRUE,FALSE,Weight/Size,Default,0.65,default
4583223165000,Chick Peas Full Case 12x400g,,,published,./images/natco_chick-peas-full-case-12x400g.jpg,5480,TRUE,"Tinned Lentils, Beans",bengal gram,garbanzo,gram,Default,C1110,,TRUE,FALSE,Weight/Size,Default,6.2,default
4583223132232,Chick Peas 400g,,,published,./images/natco_chick-peas-400g.jpg,400,TRUE,"Tinned Lentils, Beans",2025BEST,bengal gram,garbanzo,Default,C1110,,TRUE,FALSE,Weight/Size,Default,0.6,default
4583223066696,Chick Peas 2.5kg,,,published,./images/natco_chick-peas-25kg.jpg,2500,TRUE,"Tinned Lentils, Beans",bengal gram,garbanzo,gram,Default,C1100,,TRUE,FALSE,Weight/Size,Default,3.45,default
4567672389704,Chick Peas 1kg,,"Our products are manufactured in a site that handles gluten, soya,./images/natco_chick-peas-1kg.jpg, nuts, peanuts, sesame, mustard, celery and sulphites.",published,https://cdn.shopify.com/s/files/1/0280/6336/7240/products/ChickPeas1kgECO.jpg?v=1627466823,1000,TRUE,Lentils,beans,bengal gram,daal,Default,L3158,,TRUE,FALSE,Weight/Size,Default,2.8,default
4567672356936,Chick Peas 2kg,,"Our products are manufactured in a site that handles gluten, soya,./images/natco_chick-peas-2kg.jpg, nuts, peanuts, sesame, mustard, celery and sulphites.",published,https://cdn.shopify.com/s/files/1/0280/6336/7240/products/ChickPeas2kg_L3160_ECO.jpg?v=1627466846,2000,TRUE,Lentils,beans,bengal gram,daal,Default,L3160,,TRUE,FALSE,Weight/Size,Default,3.85,default
4567672193096,Kala Chana Boiled 400g,,,published,./images/natco_kala-chana-boiled-400g.jpg,400,TRUE,"Tinned Lentils, Beans",bengal gram,black chickpeas,chana,Default,C1130,,TRUE,FALSE,Weight/Size,Default,0.6,default
4567672160328,Kala Chana Boiled Full Case 12x400g,,,published,./images/natco_kala-chana-boiled-full-case-12x400g.jpg,5480,TRUE,"Tinned Lentils, Beans",bengal gram,black chickpeas,chana,Default,C1130,,TRUE,FALSE,Weight/Size,Default,6.35,default
4567671734344,Red Kidney Beans 1kg,,,published,./images/natco_red-kidney-beans-1kg.jpg,1000,TRUE,Beans,beans,daal,dals,Default,L5748,,TRUE,FALSE,Weight/Size,Default,3.65,default
