Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Discountable,Product Type,Product Tag 1,Product Tag 2,Product Tag 3,Variant Title,Variant Sku,Variant Barcode,Variant Manage Inventory,Variant Allow Backorder,Variant Option 1 Name,Variant Option 1 Value,Variant Price GBP,Shipping Profile Id
natco-soya-chunks-700g,Soya Chunks 700g,,"",,./images/natco_soya-chunks-700g.jpg,700,,[object Object],,,,,NATCO-undefined,,,,,,4.6,
natco-black-eyed-beans-400g,Black Eyed Beans 400g,,"",,./images/natco_black-eyed-beans-400g.jpg,400,,[object Object],,,,,NATCO-undefined,,,,,,0.65,
natco-white-kidney-beans-400g,White Kidney Beans 400g,,"",,./images/natco_white-kidney-beans-400g.jpg,400,,[object Object],,,,,NATCO-undefined,,,,,,0.65,
natco-white-kidney-beans-boiled-full-case-12x400g,White Kidney Beans Boiled Full Case 12x400g,,"",,./images/natco_white-kidney-beans-boiled-full-case-12x400g.jpg,5480,,[object Object],,,,,NATCO-undefined,,,,,,7.35,
natco-bhel-puri-kit-500g,Bhel Puri Kit 500g,,"",,./images/natco_bhel-puri-kit-500g.jpg,500,,[object Object],,,,,NATCO-undefined,,,,,,3.8,
natco-chick-peas-full-case-4x1kg,Chick Peas Full Case 4x1kg,,"Our products are manufactured in a site that handles gluten, soya, milk, nuts, peanuts, sesame, mustard, celery and sulphites.",,./images/natco_chick-peas-full-case-4x1kg.jpg,4200,,[object Object],,,,,NATCO-undefined,,,,,,10.55,
natco-red-kidney-beans-25kg,Red Kidney Beans 2.5kg,,"",,./images/natco_red-kidney-beans-25kg.jpg,2500,,[object Object],,,,,NATCO-undefined,,,,,,4.45,
natco-red-kidney-beans-boiled-full-case-12x400g,Red Kidney Beans Boiled Full Case 12x400g,,"",,./images/natco_red-kidney-beans-boiled-full-case-12x400g.jpg,5480,,[object Object],,,,,NATCO-undefined,,,,,,7.35,
natco-red-kidney-beans-400g,Red Kidney Beans 400g,,"",,./images/natco_red-kidney-beans-400g.jpg,400,,[object Object],,,,,NATCO-undefined,,,,,,0.65,
natco-chick-peas-full-case-12x400g,Chick Peas Full Case 12x400g,,"",,./images/natco_chick-peas-full-case-12x400g.jpg,5480,,[object Object],,,,,NATCO-undefined,,,,,,6.2,
natco-chick-peas-400g,Chick Peas 400g,,"",,./images/natco_chick-peas-400g.jpg,400,,[object Object],,,,,NATCO-undefined,,,,,,0.6,
