Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price GBP,Variant Option 1 Name,Variant Option 1 Value
prod_01KRMC55WF4PFSMYWK7FR3DNAA,basmati-rice-daawat,Basmati Rice - Daawat,,published,,Premium long grain basmati rice by Daawat.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55Z9126WTD51N598APVE,10kg,RICE-BASMATI-DT-10KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF4PFSMYWK7FR3DNAA,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,4799,Weight,10kg
prod_01KRMC55WF4PFSMYWK7FR3DNAA,basmati-rice-daawat,Basmati Rice - Daawat,,published,,Premium long grain basmati rice by Daawat.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55Z93VTMZKSHBPNF1DTQ,5kg,RICE-BASMATI-DT-5KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF4PFSMYWK7FR3DNAA,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,2499,Weight,5kg
prod_01KRMC55WF4PFSMYWK7FR3DNAA,basmati-rice-daawat,Basmati Rice - Daawat,,published,,Premium long grain basmati rice by Daawat.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55Z9BBQGFFV7KZ3PTKX8,1kg,RICE-BASMATI-DT-1KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF4PFSMYWK7FR3DNAA,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,529,Weight,1kg
prod_01KRMC55WF59STFY8RHMYGT83C,fresh-red-onions,Fresh Red Onions - Loose,,published,,Fresh red onions sold by weight.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55ZA52XNMK5Y30NZ2AJZ,Bag 5kg,ONION-BAG-5KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF59STFY8RHMYGT83C,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,549,Packaging,Bag 5kg
prod_01KRMC55WF59STFY8RHMYGT83C,fresh-red-onions,Fresh Red Onions - Loose,,published,,Fresh red onions sold by weight.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55ZACT79A50C1WCRA0E8,Loose 1kg,ONION-LOOSE-1KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF59STFY8RHMYGT83C,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,129,Packaging,Loose 1kg
prod_01KRMC55WF6Q0G41T8J5YD9NZ6,basmati-rice-india-gate,Basmati Rice - India Gate,,published,,Premium long grain basmati rice by India Gate.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55Z9EDEF69707Y7GJRWP,5kg,RICE-BASMATI-IG-5KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF6Q0G41T8J5YD9NZ6,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,2599,Weight,5kg
prod_01KRMC55WF6Q0G41T8J5YD9NZ6,basmati-rice-india-gate,Basmati Rice - India Gate,,published,,Premium long grain basmati rice by India Gate.,false,true,,,,1000,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55Z9ER36ATAMSYAS4GYN,1kg,RICE-BASMATI-IG-1KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WF6Q0G41T8J5YD9NZ6,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,549,Weight,1kg
prod_01KRMC55WFDEBTKN708E1JJHZ9,toor-dal-laxmi,Toor Dal - Laxmi,,published,,Everyday toor dal by Laxmi.,false,true,,,,500,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55ZA94ETXZ36CV8Q9HD2,1kg,DAL-TOOR-LAXMI-1KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WFDEBTKN708E1JJHZ9,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,339,Weight,1kg
prod_01KRMC55WFDEBTKN708E1JJHZ9,toor-dal-laxmi,Toor Dal - Laxmi,,published,,Everyday toor dal by Laxmi.,false,true,,,,500,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55ZAK3C1TR3GTZJ003V2,2kg,DAL-TOOR-LAXMI-2KG,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WFDEBTKN708E1JJHZ9,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,649,Weight,2kg
prod_01KRMC55WFDEBTKN708E1JJHZ9,toor-dal-laxmi,Toor Dal - Laxmi,,published,,Everyday toor dal by Laxmi.,false,true,,,,500,,,,,,,,Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:41 GMT+0100 (British Summer Time),,sc_01KRMC55CHGCAV0R6W41RDZZXK,variant_01KRMC55ZAZXD2NJNXY8KYK7R8,500g,DAL-TOOR-LAXMI-500G,,,,false,true,,,,,,,,,,0,,prod_01KRMC55WFDEBTKN708E1JJHZ9,Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),Fri May 15 2026 00:11:42 GMT+0100 (British Summer Time),,179,Weight,500g
