handle,name,parent_handle,rank,description
rice_grains,Rice & Grains,,0,
basmati_rice,Basmati Rice,rice_grains,1,
everyday_rice,Everyday Rice,rice_grains,2,
sona_masuri_rice,Sona Masuri Rice,rice_grains,3,
speciality_rice,Speciality Rice & Poha,rice_grains,4,
atta_flours,Atta & Flours,,5,
atta_flour,Atta & Chapati Flour,atta_flours,6,
gram_flour_besan,Gram Flour (Besan),atta_flours,7,
semolina_rava,Semolina & Rava,atta_flours,8,
speciality_flours_grains,"Speciality Flours, Grains & Pasta",atta_flours,9,
coconut_staples,Coconut Products,atta_flours,10,
dals_lentils_pulses,"Dals, Lentils & Pulses",,11,
lentils_dals,Lentils & Dals,dals_lentils_pulses,12,
beans_peas_pulses,"Beans, Peas & Pulses",dals_lentils_pulses,13,
spices_masalas_herbs,"Spices, Masalas & Herbs",,14,
whole_spices_seeds,Whole Spices & Seeds,spices_masalas_herbs,15,
powdered_spices,Powdered Spices,spices_masalas_herbs,16,
masalas_spice_blends,Masalas & Spice Blends,spices_masalas_herbs,17,
herbs_leaves,Herbs & Dried Leaves,spices_masalas_herbs,18,
sauces_pickles_pastes,"Chutneys, Pickles & Cooking Pastes",,19,
pickles,Pickles,sauces_pickles_pastes,20,
chutneys_spreads,Chutneys & Spreads,sauces_pickles_pastes,21,
cooking_pastes_sauces,Cooking Pastes & Table Sauces,sauces_pickles_pastes,22,
oils_ghee,Oils & Ghee,,23,
cooking_oils_ghee,Cooking Oils & Ghee,oils_ghee,24,
snacks_sweets_bakery,"Snacks, Sweets & Bakery",,25,
savouries_papadoms,Savouries & Papadoms,snacks_sweets_bakery,26,
sweets_confectionery,Sweets & Confectionery,snacks_sweets_bakery,27,
biscuits_crackers,Biscuits & Crackers,snacks_sweets_bakery,28,
nuts_dried_fruits,"Nuts, Seeds & Pub Cards",snacks_sweets_bakery,29,
beverages_pantry_essentials,"Beverages, Wellness & Pantry Essentials",,30,
beverages_drinks,"Tea, Squash & Health Drinks",beverages_pantry_essentials,31,
wellness_health,Ayurveda & Wellness,beverages_pantry_essentials,32,
sweeteners,"Sugar, Jaggery & Sweeteners",beverages_pantry_essentials,33,
baking_essences_colours,"Baking, Essences & Waters",beverages_pantry_essentials,34,
canned_preserved_vegetables,"Canned Veg, Tamarind & Meat Alts",beverages_pantry_essentials,35,
