handle,title,source,url,filename,alt
trs-kashmiri-chilli-powder,TRS - Kashmiri Chilli Powder,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/71I59Daf8_L._AC_UF1000_1000_QL80__1.jpg,trs-kashmiri-chilli-powder.jpg,Trs Kashmiri Chilli Powder 100g
trs-mustard-oil,TRS - Mustard Oil,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/s-l1600_9ab1540f-4ebb-4a6b-8672-50b77127f0f8.webp,trs-mustard-oil.jpg,Trs Mustard Oil 250ml
trs-chilli-powder-hot,TRS - Chilli Powder Hot,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/61d0-ILKxPL._AC_UF894_1000_QL80__1.jpg,trs-chilli-powder-hot.jpg,Trs Extra Hot Chilli Powder
shan-achar-gosht-masala,Shan - Achar Gosht Masala,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/achar-gosht-2.png,shan-achar-gosht-masala.png,Shan Achar Gosht Masala 50g
shan-haleem-mix,Shan Haleem Mix,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/easy-cook-haleem-mix-3.png,shan-haleem-mix.png,Shan Easy Cook Haleem Mix Masala 300g
pataks-lime-pickle,Patak's Lime Pickle,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/Pataks-Hot-Lime-Pickle-283g.jpg,pataks-lime-pickle.jpg,Patak's Hot Lime Pickle 300g
pataks-mango-chutney,Patak's Mango Chutney,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/83897011_0_640x640_03a044fa-8787-4759-b4ae-0ed7f3f5d21d.jpg,pataks-mango-chutney.jpg,Patak's Hot Mango Chutney 340g
pataks-mixed-pickle,Patak's Mixed Pickle,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/83878011_0_640x640_a65e283e-c6a8-4127-875c-80bbfb50e831.jpg,pataks-mixed-pickle.jpg,Patak's Mixed Pickle 300g
pataks-tikka-masala-paste,Patak's Tikka Masala Paste,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/Patak_s-Tikka-Masala-Curry-Paste-2.3kg_4c04c8d9-a1e2-45e7-ad8b-dd99a753354a.jpg,pataks-tikka-masala-paste.jpg,Patak's Tikka Masala Curry Paste 2.3kg
laziza-kheer-mix,Laziza - Kheer Mix,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/96-300x300.jpg,laziza-kheer-mix.jpg,Laziza Kheer Mix Almond+Saffron 155g
laziza-rasmalai-mix,Laziza - Rasmalai Mix,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/101-300x300.jpg,laziza-rasmalai-mix.jpg,Laziza Rasmalai Mix Almond 75g
britannia-good-day-cashew-cookies,Britannia Good Day Cashew Cookies,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/61kBRuYl3vL._AC_UF1000_1000_QL80__1.jpg,britannia-good-day-cashew-cookies.jpg,Britannia Good Day Cashew Cookies
britannia-marie-gold,Britannia Marie Gold,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/71Mkuv9JZ7L._AC_SL1500__1Large.jpg,britannia-marie-gold.jpg,Britannia Marie Gold Biscuits 176g
parle-bourbon,Parle Bourbon,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/product_0_1645952597_3276_1.jpg,parle-bourbon.jpg,Parle Hide & Seek Bourbon 150g
mdh-sambar-masala,MDH - Sambar Masala,foodbazaar,https://cdn.shopify.com/s/files/1/0693/3620/3547/files/81NkcuaGwGL._AC_SL1500_900x_c5ff3c5e-7b6c-417a-a4f7-fbd435c1cf04.jpg,mdh-sambar-masala.jpg,Mdh Sambhar Masala 100g
priya-gongura-pickle,Priya - Gongura Pickle,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/p/r/priya_s_gongura_pickle.jpg,priya-gongura-pickle.jpg,Priya Gongura Pickle 300g
priya-tomato-pickle,Priya - Tomato Pickle,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/p/r/priya_s_tomato_pickle.jpg,priya-tomato-pickle.jpg,Priya Tomato Pickle 300g
priya-garlic-pickle,Priya - Garlic Pickle,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/p/r/priya_s_garlic_pickle.jpg,priya-garlic-pickle.jpg,Priya Garlic Pickle 300g
haldirams-mathri,Haldiram's - Mathri,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/h/a/haldiram_s_mathri.jpg,haldirams-mathri.jpg,Haldiram's Mathri 200g
everest-garam-masala,Everest - Garam Masala,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/e/v/everest-garam-maslala.jpg,everest-garam-masala.jpg,Everest Garam Masala 100g
everest-pav-bhaji-masala,Everest - Pav Bhaji Masala,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/e/v/everest-pav-bhaji.jpg,everest-pav-bhaji-masala.jpg,Everest Pav Bhaji Masala 100g
everest-tea-masala,Everest - Tea Masala,asiandukan,https://www.asiandukan.co.uk/media/catalog/product/cache/2da425f159a3409657e48c80ff5218de/e/v/everest-tea-masala.jpg,everest-tea-masala.jpg,Everest Tea Masala 100g
