"handle","product_title","thumbnail_url","issue"
"hamdard-rooh-afza","Hamdard Rooh Afza","/uploads/hamdard-rooh-afza.jpg","FILE_MISSING"
"maaza-mango-drink","Maaza Mango Drink","/uploads/maaza-mango-drink.jpg","FILE_MISSING"
"aachi-kadugu-manga","Aachi - Kadugu Manga","/uploads/aachi_kadugu-manga.jpg","FILE_MISSING"
"aachi-lemon-pickle","Aachi - Lemon Pickle","/uploads/aachi_lemon-pickle.jpg","FILE_MISSING"
"aachi-mango-pickle","Aachi - Mango Pickle","/uploads/aachi_mango-pickle.jpg","FILE_MISSING"
"aashirvaad-atta-select","Aashirvaad Atta Select","/uploads/aashirvaad-atta-select.jpg","FILE_MISSING"
"amul-dark-chocolate","Amul - Dark Chocolate","/uploads/amul_dark-chocolate.jpg","FILE_MISSING"
"amul-pure-ghee","Amul - Pure Ghee","/uploads/amul_pure-ghee.jpg","FILE_MISSING"
"ashoka-bombay-potato","Ashoka - Bombay Potato","/uploads/ashoka_bombay-potato.jpg","FILE_MISSING"
"ashoka-butter-chicken","Ashoka - Butter Chicken","/uploads/ashoka_butter-chicken.jpg","FILE_MISSING"
"ashoka-chana-masala","Ashoka - Chana Masala","/uploads/ashoka_chana-masala.jpg","FILE_MISSING"
"ashoka-dal-makhani","Ashoka - Dal Makhani","/uploads/ashoka_dal-makhani.jpg","FILE_MISSING"
"ashoka-mutter-paneer","Ashoka - Mutter Paneer","/uploads/ashoka_mutter-paneer.jpg","FILE_MISSING"
"ashoka-palak-paneer","Ashoka - Palak Paneer","/uploads/ashoka_palak-paneer.jpg","FILE_MISSING"
"ashoka-rajma-masala","Ashoka - Rajma Masala","/uploads/ashoka_rajma-masala.jpg","FILE_MISSING"
"ashoka-tarka-dhal","Ashoka - Tarka Dhal","/uploads/ashoka_tarka-dhal.jpg","FILE_MISSING"
"bikaji-gulab-jamun-tin","Bikaji - Gulab Jamun Tin","/uploads/bikaji_gulab-jamun.jpg","FILE_MISSING"
"bikaji-khatta-meetha","Bikaji - Khatta Meetha","/uploads/bikaji_khatta-meetha.jpg","FILE_MISSING"
"bikaji-soan-papdi","Bikaji - Soan Papdi","/uploads/bikaji_soan-papdi.jpg","FILE_MISSING"
"bournvita","Bournvita - Health Drink","/uploads/bournvita_health-drink.jpg","FILE_MISSING"
"bovonto-grape-300ml-6pack","Bovonto - Grape Soda 6-Pack","/uploads/bovonto_grape-soda.jpg","FILE_MISSING"
"britannia-bourbon-cream","Britannia Bourbon Cream","/uploads/britannia-bourbon-cream.jpg","FILE_MISSING"
"britannia-good-day-butter-cookies","Britannia Good Day Butter Cookies","/uploads/britannia-good-day-butter-cookies.jpg","FILE_MISSING"
"britannia-good-day-cashew-cookies","Britannia Good Day Cashew Cookies","/uploads/britannia-good-day-cashew-cookies.jpg","FILE_MISSING"
"britannia-marie-gold","Britannia Marie Gold","/uploads/britannia-marie-gold.jpg","FILE_MISSING"
"brooke-bond-red-label","Brooke Bond - Red Label Tea","/uploads/brooke-bond_red-label.jpg","FILE_MISSING"
"bru-instant-coffee","Bru - Instant Coffee Original","/uploads/bru_instant-coffee.jpg","FILE_MISSING"
"cadbury-5star-import-6pack","Cadbury - 5 Star Indian Import 6-Pack","/uploads/cadbury_5star.jpg","FILE_MISSING"
"cadbury-gems-import-6pack","Cadbury - Gems Indian Import 6-Pack","/uploads/cadbury_gems.jpg","FILE_MISSING"
"cadbury-perk-import-6pack","Cadbury - Perk Indian Import 6-Pack","/uploads/cadbury_perk.jpg","FILE_MISSING"
"chings-hakka-noodles","Ching's Secret - Hakka Noodles","/uploads/chings_hakka-noodles.jpg","FILE_MISSING"
"chings-schezwan-noodles","Ching's Secret - Schezwan Noodles","/uploads/chings_schezwan-noodles.jpg","FILE_MISSING"
"chings-schezwan-sauce","Ching's Secret - Schezwan Sauce","/uploads/chings_schezwan-sauce.jpg","FILE_MISSING"
"daawat-rozana-basmati","Daawat Rozana Basmati","/uploads/daawat-rozana-basmati.jpg","FILE_MISSING"
"dabur-chyawanprash","Dabur - Chyawanprash","/uploads/dabur_chyawanprash.jpg","FILE_MISSING"
"elephant-atta-chakki-fresh","Elephant Atta Chakki Fresh","/uploads/elephant-atta-chakki-fresh.jpg","FILE_MISSING"
"everest-garam-masala","Everest - Garam Masala","/uploads/everest_garam-masala.jpg","FILE_MISSING"
"everest-pav-bhaji-masala","Everest - Pav Bhaji Masala","/uploads/everest_pav-bhaji.jpg","FILE_MISSING"
"everest-sambhar-masala","Everest - Sambhar Masala","/uploads/everest_sambhar-masala.jpg","FILE_MISSING"
"everest-tea-masala","Everest - Tea Masala","/uploads/everest_tea-masala.jpg","FILE_MISSING"
"falak-super-basmati","Falak Super Basmati","/uploads/falak-super-basmati.jpg","FILE_MISSING"
"frooti-mango-1l","Frooti - Mango Drink","/uploads/frooti_mango.jpg","FILE_MISSING"
"girnar-masala-chai-teabags-100","Girnar - Masala Chai Tea Bags 100 Box","/uploads/girnar_masala-chai.jpg","FILE_MISSING"
"glucon-d-mango","Glucon-D - Mango","/uploads/glucon-d_mango.jpg","FILE_MISSING"
"hajmola-digestive-jar-100tabs","Hajmola - Digestive Candy Jar 100 Tablets","/uploads/hajmola_digestive.jpg","FILE_MISSING"
