sku,price_gbp
veenas-drumsticks,2.69
veenas-okra,4.29
veenas-green-chillies,1.69
veenas-tindora,4.39
veenas-coconut-single,1.69
veenas-dudhi,3.99
veenas-karela,4.99
veenas-small-onion,4.49
veenas-turia,4.49
veenas-snake-gourd,5.39
veenas-ginger,2.49
veenas-ash-plantain,4.99
veenas-garlic,2.29
veenas-chow-chow,2.49
veenas-indian-onion,1.49
veenas-long-beans,3.99
veenas-suran,5.99
veenas-guar-beans,5.49
veenas-sl-brinjal,2.99
veenas-arbi,4.99
veenas-brinjal-ravaya,3.99
veenas-beetroot,1.59
veenas-yellow-cucumber,5.49
veenas-green-plantains,4.49
veenas-pumpkin-cut,2.99
veenas-brinjal-ravaiya,4.49
veenas-vine-tomato,3.49
veenas-banana-flower,5.99
veenas-green-vada-chillies,3.49
veenas-vallor-beans,3.99
veenas-white-pumpkin,3.49
veenas-yellow-plantains,4.29
veenas-cassava,2.99
veenas-papdi-beans,3.99
veenas-ash-gourd,11.49
veenas-cabbage,1.99
veenas-banana-stem,5.29
veenas-green-lime,1.99
veenas-cauliflower,2.99
veenas-fresh-turmeric,3.99
veenas-line-aubergine,3.99
veenas-fine-beans,3.99
veenas-carrot,1.69
veenas-curry-leaves,2.49
veenas-long-green-chillies,2.49
veenas-green-banana,3.49
veenas-small-onion-bunch,6.49
veenas-matoke-banana,4.49
veenas-coconut-2pack,2.99
veenas-yellow-lemon,1.79
veenas-green-papaya,4.99
veenas-tinda-round,4.59
veenas-mud-potato,2.99
veenas-kohlrabi,2.79
veenas-spring-onions,1.49
veenas-bullet-chillies,3.49
veenas-dutch-aubergine,5.49
veenas-lemon-grass,1.69
veenas-purple-yam,5.99
veenas-paprika-mixed,2.99
veenas-wing-beans,3.79
veenas-red-chillies,3.49
veenas-green-peas,3.99
veenas-white-paprika,2.49
veenas-yam,4.49
veenas-white-onion,2.49
veenas-turnip,3.99
veenas-sweet-white-potato,3.49
veenas-broccoli,3.49
veenas-green-cabbage,2.99
veenas-hot-peppers,2.49
veenas-courgette,1.49
veenas-leeks,1.69
veenas-chinese-cabbage,2.99
veenas-pak-choi,2.49
veenas-butternut,4.49
veenas-morocco-onion,1.59
veenas-celery,1.99
veenas-iceberg-lettuce,2.49
