variant_handle,price_gbp,effective_date
4567660527688,4.60,2026-06-11
6647387652168,0.65,2026-06-11
6579342409800,0.65,2026-06-11
6535757660232,3.80,2026-06-11
4583223754824,10.55,2026-06-11
4583223394376,4.45,2026-06-11
4583223361608,7.35,2026-06-11
4583223165000,6.20,2026-06-11
4583223066696,3.45,2026-06-11
4567672356936,3.85,2026-06-11
4567672193096,0.60,2026-06-11
4567671734344,3.65,2026-06-11
4567671701576,5.60,2026-06-11
4567671504968,0.60,2026-06-11
4567670030408,1.40,2026-06-11
4567667638344,6.80,2026-06-11
4567667605576,1.80,2026-06-11
4567667572808,5.55,2026-06-11
15383683334529,2.25,2026-06-11
15383643226497,4.95,2026-06-11
4567662002248,5.10,2026-06-11
4567668523080,2.20,2026-06-11
15097116393857,2.40,2026-06-11
15097122881921,1.30,2026-06-11
15097233015169,0.70,2026-06-11
4567670423624,14.50,2026-06-11
4567661183048,1.55,2026-06-11
14681551307137,9.90,2026-06-11
6842634403912,1.10,2026-06-11
4567658168392,1.95,2026-06-11
4567661084744,2.05,2026-06-11
4567673438280,2.05,2026-06-11
6804786282568,1.65,2026-06-11
4567672488008,1.65,2026-06-11
4567667671112,0.95,2026-06-11
6546732482632,2.45,2026-06-11
6804650754120,1.10,2026-06-11
4567669735496,11.55,2026-06-11
6804638728264,1.15,2026-06-11
4567661281352,3.45,2026-06-11
4567670161480,13.50,2026-06-11
5864194801736,5.85,2026-06-11
6562924986440,7.90,2026-06-11
5864191590472,11.65,2026-06-11
4567673077832,2.05,2026-06-11
4567672848456,2.25,2026-06-11
4567672750152,2.25,2026-06-11
4567672717384,2.25,2026-06-11
4567663411272,1.70,2026-06-11
4567663378504,18.50,2026-06-11
4567663312968,5.70,2026-06-11
4567663280200,1.95,2026-06-11
4567662559304,1.35,2026-06-11
4567662526536,1.45,2026-06-11
4567662493768,1.35,2026-06-11
4567662461000,1.60,2026-06-11
4567662166088,1.85,2026-06-11
4567661051976,3.20,2026-06-11
4567660986440,0.90,2026-06-11
4567660167240,3.15,2026-06-11
4583223853128,2.25,2026-06-11
4583223820360,9.25,2026-06-11
4567672619080,1.45,2026-06-11
4567672553544,1.10,2026-06-11
4567671832648,5.65,2026-06-11
4567663870024,7.60,2026-06-11
4567663837256,2.35,2026-06-11
4567663804488,3.20,2026-06-11
4567663673416,2.30,2026-06-11
