handle,product_title,subtitle,description,brand,category_handle,collection_handle,dietary_flags,status,brand_slug,vat_rate,regional_tags,subscription_eligible,eco_rating,image_filenames
hamdard-rooh-afza,Hamdard Rooh Afza,,Hamdard Rooh Afza 1.5L - Premium quality product.,,soft_drinks_juices,,vegetarian,published,generic,0,,true,,
maaza-mango-drink,Maaza Mango Drink,,Maaza Mango Drink - India's iconic mango nectar drink made with Alphonso mango pulp. A weekly trigger for most households.,,soft_drinks_juices,,vegetarian,published,generic,0,,true,,
aachi-kadugu-manga,Aachi - Kadugu Manga,,Tamil-style mustard-marinated tender mango pickle. A unique regional speciality.,Aachi,pickles,,vegetarian;vegan;gluten-free,published,aachi,0,,true,,
aachi-lemon-pickle,Aachi - Lemon Pickle,,Tamil-style tangy lemon pickle with traditional spices.,Aachi,pickles,,vegetarian;vegan;gluten-free,published,aachi,0,,true,,
aachi-mango-pickle,Aachi - Mango Pickle,,Tamil-style spicy mango pickle. A must-have for the Tamil community.,Aachi,pickles,,vegetarian;vegan;gluten-free,published,aachi,0,,true,,
aashirvaad-atta-select,Aashirvaad Atta Select,,Aashirvaad Atta Select - premium 100% MP Sharbati whole wheat flour from India's #1 atta brand; renowned for soft rotis.,Aashirvaad,atta_flour,,vegetarian,published,aashirvaad,0,,true,,
amul-dark-chocolate,Amul - Dark Chocolate,,Premium Indian dark chocolate from Amul. Rich; smooth; and distinctly Indian taste.,Amul,sweets_confectionery,,vegetarian,published,amul,0,,true,,
amul-pure-ghee,Amul - Pure Ghee,,Amul's legendary pure ghee. Strong brand loyalty â€” customers specifically ask for Amul.,Amul,pure_ghee,,vegetarian,published,amul,0,,true,,
ashoka-bombay-potato,Ashoka - Bombay Potato,,Ready-to-eat spiced potatoes â€” a tangy Mumbai-style side dish or snack.,Ashoka,rte_meals,,vegetarian;vegan;gluten-free,published,ashoka,0,,true,,
ashoka-butter-chicken,Ashoka - Butter Chicken,,Ready-to-eat butter chicken. Creamy tomato-based curry with tender chicken pieces.,Ashoka,rte_meals,,,published,ashoka,0,,true,,
ashoka-chana-masala,Ashoka - Chana Masala,,Ready-to-eat spicy chickpea curry. Authentic Punjabi flavour in minutes.,Ashoka,rte_meals,,vegetarian;vegan;gluten-free,published,ashoka,0,,true,,
ashoka-dal-makhani,Ashoka - Dal Makhani,,Ready-to-eat black lentil curry. Rich; creamy Punjab restaurant classic.,Ashoka,rte_meals,,vegetarian; vegan,published,ashoka,0,,true,,
ashoka-mutter-paneer,Ashoka - Mutter Paneer,,Ready-to-eat peas and cottage cheese in tomato gravy. A timeless Indian classic.,Ashoka,rte_meals,,vegetarian,published,ashoka,0,,true,,
ashoka-palak-paneer,Ashoka - Palak Paneer,,Ready-to-eat spinach and cottage cheese curry. Classic North Indian vegetarian.,Ashoka,rte_meals,,vegetarian,published,ashoka,0,,true,,
ashoka-rajma-masala,Ashoka - Rajma Masala,,Ready-to-eat red kidney bean curry. Hearty Punjabi staple in minutes.,Ashoka,rte_meals,,vegetarian;vegan;gluten-free,published,ashoka,0,,true,,
ashoka-tarka-dhal,Ashoka - Tarka Dhal,,Ready-to-eat yellow lentil dal with cumin tempering. Heat in 2 minutes.,Ashoka,rte_meals,,vegetarian;vegan;gluten-free,published,ashoka,0,,true,,
bikaji-gulab-jamun-tin,Bikaji - Gulab Jamun Tin,,Large tin of soft milk-solid dumplings in fragrant sugar syrup. Ideal for entertaining.,Bikaji,sweets_confectionery,,vegetarian,published,bikaji,0,,true,,
bikaji-khatta-meetha,Bikaji - Khatta Meetha,,Sweet and sour chickpea flour noodles with peanuts and dried fruit. Uniquely addictive.,Bikaji,savouries_papadoms,,vegetarian,published,bikaji,0,,true,,
bikaji-soan-papdi,Bikaji - Soan Papdi,,Flaky melt-in-the-mouth gram flour sweet with pistachios. A Diwali essential.,Bikaji,sweets_confectionery,,vegetarian,published,bikaji,0,,true,,
bournvita,Bournvita - Health Drink,,Classic malted chocolate health drink fortified with vitamins and minerals. A childhood staple across India.,Bournvita,health_malted_drinks,,vegetarian,published,bournvita,0,,true,,
