product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw
hamdard-rooh-afza,generic-hamdard-rooh-afza-15l,GEN_hamdard-rooh-afza_1.5l,1.5L,1.5,l,/uploads/hamdard-rooh-afza.jpg,B,,,See product packaging,,India,1.5L,MVC-hamdard-rooh-afza-15l-v0
maaza-mango-drink,generic-maaza-mango-drink-1l,GEN_maaza-mango-drink_1l,1L,1,l,/uploads/maaza-mango-drink.jpg,B,,,See product packaging for full ingredients list,,India,1L,Maaza-maaza-mango-drink-v0
aachi-kadugu-manga,aachi-kadugu-manga-300g,GEN_aachi-kadugu-manga_300g,,300,g,/uploads/aachi_kadugu-manga.jpg,A,,mustard,Contains mustard,Store in a cool dry place,India,Default,aachi-kadugu-manga-300g
aachi-lemon-pickle,aachi-lemon-pickle-300g,GEN_aachi-lemon-pickle_300g,,300,g,/uploads/aachi_lemon-pickle.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,aachi-lemon-pickle-300g
aachi-mango-pickle,aachi-mango-pickle-500g,GEN_aachi-mango-pickle_500g,,500,g,/uploads/aachi_mango-pickle.jpg,A,,mustard,Contains mustard,Store in a cool dry place,India,Default,aachi-mango-pickle-500g
aashirvaad-atta-select,aashirvaad-aashirvaad-atta-select-5kg,GEN_aashirvaad-atta-select_5kg,5kg,5,kg,/images/products/aashirvaad-atta-select.jpg,B,,,See product packaging for full ingredients list,,India,5kg,Aashirvaad-aashirvaad-atta-select-v0
aashirvaad-atta-select,aashirvaad-aashirvaad-atta-select-10kg,GEN_aashirvaad-atta-select_10kg,10kg,10,kg,/images/products/aashirvaad-atta-select.jpg,B,,,See product packaging,,India,10kg,MVC-aashirvaad-atta-select-10kg-v0
amul-dark-chocolate,amul-dark-chocolate-150g,GEN_amul-dark-chocolate_150g,,150,g,/uploads/amul_dark-chocolate.jpg,A,,milk;soya,Contains milk and soya,Store in a cool dry place,India,Default,amul-dark-chocolate-150g
amul-pure-ghee,amul-ghee-1kg,GEN_amul-pure-ghee_1kg,,1,kg,/uploads/amul_pure-ghee.jpg,A,gluten-free,milk,Contains milk,Store in a cool dry place,India,Default,amul-pure-ghee-1kg
ashoka-bombay-potato,ashoka-bombay-potato-280g,GEN_ashoka-bombay-potato_280g,,280,g,/uploads/ashoka_bombay-potato.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,ashoka-bombay-potato-280g
ashoka-butter-chicken,ashoka-butter-chicken-280g,GEN_ashoka-butter-chicken_280g,,280,g,/uploads/ashoka_butter-chicken.jpg,A,gluten-free,milk;chicken,Contains milk; See product packaging,Store in a cool dry place,India,Default,ashoka-butter-chicken-280g
ashoka-chana-masala,ashoka-chana-masala-280g,GEN_ashoka-chana-masala_280g,,280,g,/images/products/ashoka-chana-masala.png,A,,,See product packaging,Store in a cool dry place,India,Default,ashoka-chana-masala-280g
ashoka-dal-makhani,ashoka-dal-makhani-280g,GEN_ashoka-dal-makhani_280g,,280,g,/images/products/ashoka-dal-makhani.jpg,A,,milk,Contains milk; See product packaging,Store in a cool dry place,India,Default,ashoka-dal-makhani-280g
