"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"soyachunks1","Soya Chunks 350g","350","Soya","soya-grains","kheema","NO","DUPLICATE_lentils"
"soyachunks","Soya Chunks 700g","700","Soya","soya-grains","kheema","NO","DUPLICATE_lentils"
"soyamince","Soya Mince 300g","300","Soya","soya-grains","kheema","NO","DUPLICATE_lentils"
"almond-oil-250ml","Almond Oil 250ml","500","Ghee & Oils","ghee-oils","new","NO","NEW"
"natco-almond-oil-500ml","Almond Oil 500ml","700","Ghee & Oils","ghee-oils","new","NO","NEW"
"natco-castor-oil-250ml","Castor Oil 250ml","500","Ghee & Oils","ghee-oils","new","NO","NEW"
"coconut-oil-parachute","Coconut Oil (Parachute Brand) 500ml","500","Ghee & Oils","ghee-oils","coconut;naariyal;nariyal","NO","NEW"
"demerarasugar","Demerara Sugar 1.5kg","1500","Sugar & Jaggery","sugar-jaggery","Christmas;dememera;demmerara;demmerera;goor;gor;mulled;special offer;Xmas Cooking","NO","NEW"
"demerara-sugar-500g","Demerara Sugar 500g","500","Sugar & Jaggery","sugar-jaggery","Christmas;dememera;demmerara;demmerera;goor;gor;Gur;mulled;special offer;Xmas Cooking","NO","NEW"
"ghee-plough","Ghee Pure (Plough brand) 500g","500","Ghee & Oils","ghee-oils","oil;ramadan","NO","NEW"
"ghee-pure-butter","Ghee Pure Butter 1kg","1000","Ghee & Oils","ghee-oils","2022BEST;2025BEST;diwali2022;oil;ramadan","NO","NEW"
"groundnut-oil-1l","Groundnut Oil 1 Litre","1200","Ghee & Oils","ghee-oils","2024BEST;2025BEST;new","NO","NEW"
"jaggery","Jaggery 500g","500","Sugar & Jaggery","sugar-jaggery","2021BEST;Christmas;goor;gor;gud;Gur;jageri;jagery;jaggari;jeggari;jeggery;sugar;Xmas Cooking","NO","NEW"
"olive-oil-virgin","Olive Oil Extra Virgin 500ml","500","Ghee & Oils","ghee-oils","2022BEST;Christmas;Dal Recipe;olive;Xmas Cooking","NO","NEW"
"olive-oil-pomace1","Pomace Olive Oil 1 Litre","1000","Ghee & Oils","ghee-oils","olive","NO","NEW"
"pomace-oil","Pomace Olive Oil 5 Litre","5000","Ghee & Oils","ghee-oils","olive","NO","NEW"
"pomace-oil-blend","Pomace Olive Oil Blend 3 Litres","3000","Ghee & Oils","ghee-oils","2022BEST;olive","NO","NEW"
"linseed-oil-250ml","Pure Linseed Oil 250ml","500","Ghee & Oils","ghee-oils","new","NO","NEW"
"pure-mustard-oil-1ltr","Pure Mustard Oil 1Ltr","950","Ghee & Oils","ghee-oils","","NO","NEW"
"pure-mustard-oil-250ml","Pure Mustard Oil 250ml","300","Ghee & Oils","ghee-oils","","NO","NEW"
"sesame-oil-1l","Pure Sesame Oil 1 Litre","1200","Ghee & Oils","ghee-oils","2024BEST;new","NO","NEW"
"pure-sesame-oil-250ml","Pure Sesame Oil 250ml","500","Ghee & Oils","ghee-oils","new","NO","NEW"
"sugarcandy","Sugar Candy 375g","375","Sugar & Jaggery","sugar-jaggery","goor;gor","NO","NEW"
