"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"basmati-rice-bag","Basmati Rice India - Bag 5kg","5000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"basmati-rice-white","Basmati Rice India 2kg","2000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"basmati-rice-kernel1","Basmati Rice Kernel 5kg","5000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"chakki-atta-multigrain","Chakki Atta Multigrain 5kg","5000","Flour","flours","ata;chaki;elephant;elephant atta;maida;multi grain;multi grain atta","NO","NEW"
"chapati-flour-medium","Chapati Flour Medium 1.5kg","1500","Flour","flours","atta;chapatti;chappati;chappatti;maida","NO","NEW"
"chapati-flour-white","Chapati Flour White 1.5kg","1500","Flour","flours","atta;chapatti;chappati;chappatti;maida","NO","NEW"
"cornmealfine","Cornmeal Fine 1.5kg","1500","Flour","flours","2022BEST;2024BEST;polenta;pollenta","NO","NEW"
"cornmealfine1","Cornmeal Fine 500g","500","Flour","flours","polenta;pollenta","NO","NEW"
"cornmealmedium","Cornmeal Medium 1.5kg","1500","Flour","flours","polenta;pollenta","NO","NEW"
"cornmealmedium1","Cornmeal Medium 500g","500","Flour","flours","polenta;pollenta","NO","NEW"
"easycook-parboiled-rice","Easycook Parboiled Rice 5kg","5000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"gram-flour-papa","Gram Flour (Papa brand) 2kg","2000","Flour","flours","besan;chickpea;chickpea flour;diwali2022","NO","NEW"
"gram-flour-superfine1","Gram Flour Superfine 1kg","1000","Flour","flours","besan;BesanPuri;chickpea;chickpea flour;diwali2022","NO","NEW"
"gram-flour-superfine","Gram Flour Superfine 2kg","2000","Flour","flours","2025BEST;besan;chickpea;chickpea flour;diwali2022","NO","NEW"
"gram-flour-superfine2","Gram Flour Superfine 500g","500","Flour","flours","besan;BesanPuri;chickpea;chickpea flour","NO","NEW"
"groundrice","Ground Rice 1.5kg","1500","Flour","flours","2024BEST;bhat;cal;ramadan","NO","NEW"
"groundrice1","Ground Rice 500g","500","Flour","flours","bhat;cal","NO","NEW"
"idli-rice","Idli Rice 5kg","5000","Rice","rice-quinoa","bhat;cal;idly","NO","NEW"
"long-grain-rice","Long Grain White Rice 5kg","5000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"mamra-basmati-200g","Mamra Basmati 200g","200","Rice","rice-quinoa","mumra;puffed rice","NO","NEW"
"mamra-basmati-908g","Mamra Basmati 908g","908","Rice","rice-quinoa","mumra;puffed rice","NO","NEW"
"millet-flour","Millet (Bajri) Flour 900g","900","Flour","flours","bairi;bajri;millet;ragi;raki","NO","NEW"
"ponni-rice","Ponni Rice 5kg","5000","Rice","rice-quinoa","bhat;cal;cavala","NO","NEW"
"popcorn","Popcorn 2kg","2000","Corn","corn","Christmas;pop corn;popping corn;Xmas Cooking;Xmas Snacks","NO","NEW"
"popcorn1","Popcorn 500g","500","Corn","corn","Christmas;pop corn;popping corn;Xmas Cooking;Xmas Snacks","NO","NEW"
"powa-medium","Powa Medium (Flaked Rice) 1kg","1000","Rice","rice-quinoa","2021BEST;2022BEST;2024BEST;pawa;poha","NO","NEW"
"ragiflour","Ragi Flour 900g","900","Flour","flours","millet;teff flour","NO","NEW"
"riceflour1","Rice Flour 500g","500","Flour","flours","bhat;cal","NO","NEW"
"semolinacoarse","Semolina Coarse 1.5kg","1500","Flour","flours","rava;semmolina;sooji;wheat","NO","NEW"
"semolinacoarse1","Semolina Coarse 500g","500","Flour","flours","rava;semmolina;sooji;wheat","NO","NEW"
"semolina-extra-coarse","Semolina Extra Coarse 1.5kg","1500","Flour","flours","rava;semmolina;sooji;wheat","NO","NEW"
"semolinafine","Semolina Fine 1.5kg","1500","Flour","flours","diwali2022;rava;semmolina;sooji;wheat","NO","NEW"
"semolinafine1","Semolina Fine 500g","500","Flour","flours","diwali2022;rava;semmolina;sooji;wheat","NO","NEW"
"sona-masuri-rice","Sona Masuri Rice 5kg","5000","Rice","rice-quinoa","sona masoori;sonna masuri","NO","NEW"
"white-maize-meal","White Maize Meal 1.5kg","1500","Flour","flours","2024BEST;corn;maida;maize mel","NO","NEW"
