"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"alubia-beans","Alubia Beans 2kg","2000","Beans","dried-lentils-beans-peas","allubia;beans;canelini;canellini;cannellini;daal;dals;haricot;lentils;peas;pulses;white rajma","NO","NEW"
"alubia-beans1","Alubia Beans 500g","500","Beans","dried-lentils-beans-peas","allubia;beans;canelini;canellini;cannellini;daal;dals;haricot;lentils;peas;pulses;white rajma","NO","NEW"
"bhel-puri-kit-500g","Bhel Puri Kit 500g","500","Daria Lentil Snack","namkeen-lentil-snacks","Christmas;gram flour;meal kit;Namkeen;new;roasted chana;spring;xmas snacks","NO","NEW"
"black-eye-beans","Black Eye Beans 2kg","2000","Beans","dried-lentils-beans-peas","beans;black eyed;cow pea;daal;dals;lentils;lobia;peas;pulses","NO","NEW"
"black-eye-beans1","Black Eye Beans 500g","500","Beans","dried-lentils-beans-peas","beans;black eyed;cow pea;daal;dals;lentils;lobia;peas;pulses","NO","NEW"
"black-eyed-beans-400g","Black Eyed Beans 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","black eyed pea;cowpea;gram","NO","NEW"
"brown-chick-peas","Brown Chick Peas 2kg","2000","Lentils","dried-lentils-beans-peas","beans;black chickpeas;chholaa boot;daal;dals;desi chana;garbanzo;gram;kala chana;lentils;peas;pulses","NO","NEW"
"brown-chick-peas1","Brown Chick Peas 500g","500","Lentils","dried-lentils-beans-peas","beans;black chickpeas;chholaa boot;daal;dals;desi chana;garbanzo;gram;kala chana;lentils;peas;pulses","NO","NEW"
"brown-lentils","Brown Lentils 2kg","2000","Lentils","dried-lentils-beans-peas","beans;daal;dals;lentils;masoor;massoor;peas;pulses","NO","NEW"
"brown-lentils1","Brown Lentils 500g","500","Lentils","dried-lentils-beans-peas","beans;daal;dals;lentils;masoor;massoor;peas;pulses","NO","NEW"
"butter-beans","Butter Beans 2kg","2000","Beans","dried-lentils-beans-peas","beans;daal;dals;lentils;lima bean;peas;pulses","NO","NEW"
"butter-beans1","Butter Beans 500g","500","Beans","dried-lentils-beans-peas","beans;daal;dals;lentils;peas;pulses","NO","NEW"
