"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"blanched-almond-whole1","Almond Blanched Whole 250g","250","Raw Nuts","raw-nuts","badam","NO","NEW"
"almondflakes","Almond Flakes 1kg","1000","Raw Nuts","raw-nuts","badam","NO","NEW"
"almondflakes1","Almond Flakes 300g","300","Raw Nuts","raw-nuts","badam;Christmas;diwali2022;Xmas Cooking","NO","NEW"
"almonds","Almonds 1kg","1000","Raw Nuts","raw-nuts","2022BEST;2025BEST;badam;Christmas;Xmas Cooking","NO","NEW"
"almonds1","Almonds 400g","400","Raw Nuts","raw-nuts","badam;Christmas;diwali2022;Xmas Cooking","NO","NEW"
"almondsground","Almonds Ground 300g","300","Raw Nuts","raw-nuts","almond flour;almond powder;badam;Christmas;diwali2022;Xmas Cooking","NO","NEW"
"blanched-almond-whole","Blanched Almond Whole 700g","700","Raw Nuts","raw-nuts","Christmas;kali mirch;mirch;Xmas Cooking","NO","NEW"
"cashew-pieces","Cashew (Large White Pieces) 750g","750","Raw Nuts","raw-nuts","cajew;Christmas;kaju;Xmas Cooking","NO","NEW"
"cashew-kernel","Cashew Kernel 1kg","1000","Raw Nuts","raw-nuts","2022BEST;cajew;Christmas;diwali2022;kaju;Xmas Cooking","NO","NEW"
"cashew-kernel1","Cashew Kernel 300g","300","Raw Nuts","raw-nuts","cajew;kaju","NO","NEW"
"cashewsplit","Cashew Split 1kg","1000","Raw Nuts","raw-nuts","cajew;diwali2022;kaju","NO","NEW"
"luxury-fruit-nut1","Luxury Fruit & Nut Mix 250g","250","Raw Nuts","raw-nuts","badam;friit;friit and and nut mix;friit and nut mix;nut mix","NO","NEW"
"luxury-fruit-nut","Luxury Fruit & Nuts Mix 750g","750","Raw Nuts","raw-nuts","badam;diwali2022;friit;friit and and nut mix;friit and nut mix;nut mix","NO","NEW"
"red-peanuts","Peanuts Red 1kg","1000","Raw Nuts","raw-nuts","0;Christmas;Xmas Cooking","NO","NEW"
"red-peanuts1","Peanuts Red 400g","400","Raw Nuts","raw-nuts","0;Christmas;Xmas Cooking","NO","NEW"
"pecans","Pecans 200g","200","Raw Nuts","raw-nuts","peecan","NO","NEW"
"pine-nuts-75g","Pine Nuts 75g","75","Raw Nuts","raw-nuts","2021BEST;Christmas;new;Xmas Cooking","NO","NEW"
"pistachio-kernels2","Pistachio Kernels 100g","100","Raw Nuts","raw-nuts","pista","NO","NEW"
"pistachio-kernels","Pistachio Kernels 1kg","1000","Raw Nuts","raw-nuts","Christmas;pista;Xmas Cooking","NO","NEW"
"pistachio-kernels1","Pistachio Kernels 250g","250","Raw Nuts","raw-nuts","Christmas;pista;Xmas Cooking","NO","NEW"
"roasted-monkey-nuts","Roasted Monkey Nuts 300g","300","Raw Nuts","raw-nuts","0;Christmas;Xmas Snacks","NO","NEW"
"walnuts","Walnut Halves 200g","200","Raw Nuts","raw-nuts","akharot;Christmas;Xmas Cooking","NO","NEW"
"walnut1","Walnut Halves 700g","700","Raw Nuts","raw-nuts","2025BEST;akharot;Christmas;Xmas Cooking","NO","NEW"
