"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"gram-roasted-unsalted","Gram Roasted Unsalted 300g","300","Daria Lentil Snack","namkeen-lentil-snacks","bikaji;dal;gram;haldiram;lentil;roasted chana","NO","DUPLICATE_lentils"
"gram-roasted-salted","Gram Roasted Salted 300g","300","Daria Lentil Snack","namkeen-lentil-snacks","bikaji;dal;gram;haldiram;lentil;roasted chana","NO","DUPLICATE_lentils"
"bhel-puri-kit-500g","Bhel Puri Kit 500g","500","Daria Lentil Snack","namkeen-lentil-snacks","Christmas;gram flour;meal kit;Namkeen;new;roasted chana;spring;xmas snacks","NO","DUPLICATE_lentils"
"dariadal","Daria Dal 300g","300","Daria Lentil Snack","namkeen-lentil-snacks","bikaji;dal;gram;haldiram;lentil;roasted chana","NO","DUPLICATE_lentils"
"daria-gotta-small","Daria Gotta (Small) 300g","300","Daria Lentil Snack","namkeen-lentil-snacks","bikaji;dal;gram;haldiram;lentil;roasted chana","NO","DUPLICATE_lentils"
"daria-gotta-large","Daria Gotta (Large) 700g","700","Daria Lentil Snack","namkeen-lentil-snacks","bikaji;dal;gram;haldiram;lentil;roasted chana","NO","DUPLICATE_lentils"
"pappadoms-plain-mw","Pappadoms Plain (Microwavable) 200g","200","Pappadoms","pappadoms","2021BEST;2022BEST;2024BEST;best;Christmas;Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;Xmas Snacks","NO","NEW"
"pappadoms-punjabi-mw","Pappadoms Punjabi (Microwavable) 200g","200","Pappadoms","pappadoms","Christmas;Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;spring;Xmas Snacks","NO","NEW"
"pappadoms-jeera-mw","Pappadoms Jeera (Microwavable) 200g","200","Pappadoms","pappadoms","2024BEST;best;Christmas;Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;Xmas Snacks","NO","NEW"
"pappadoms-madras-papa","Pappadoms Madras (Papa Brand) 250g","250","Pappadoms","pappadoms","2022BEST;Christmas;Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;Xmas Snacks","NO","NEW"
"cashew-roasted-salted","Cashew Roasted Salted 250g","250","Flavoured Nuts","flavoured-nuts-snacks","cajew;Christmas;diwali2022;kaju","NO","NEW"
"big-d-salted-cashews-12x30g-cards","Big D Salted Cashews 12x30g Cards","360","Flavoured Nuts","flavoured-nuts-snacks","2021BEST;Christmas;nuts;offer;special offer;summer;Xmas Snacks","NO","NEW"
"big-d-salted-peanuts-24x50g-packs","Big D Salted Peanuts 24x50g","1300","Flavoured Nuts","flavoured-nuts-snacks","2021BEST;Christmas;offer;special offer;Xmas Snacks","NO","NEW"
"peanut-brittle","Peanut Gachak (Peanut Brittle) 400g","400","Flavoured Nuts","flavoured-nuts-snacks","Christmas;diwali2022;Xmas Snacks","NO","NEW"
"pistachio-roasted2","Roasted & Salted Pistachio Nuts 100g","100","Flavoured Nuts","flavoured-nuts-snacks","Christmas;pista;Xmas Snacks","NO","NEW"
"pistachio-roasted1","Roasted & Salted Pistachio Nuts 300g","300","Flavoured Nuts","flavoured-nuts-snacks","Christmas;pista;Xmas Snacks","NO","NEW"
"pistachio-roasted","Roasted & Salted Pistachio Nuts 1kg","1000","Flavoured Nuts","flavoured-nuts-snacks","2022BEST;Christmas;diwali2022;pista;Xmas Snacks","NO","NEW"
"popcorn1","Popcorn 500g","500","Corn","corn","Christmas;pop corn;popping corn;Xmas Cooking;Xmas Snacks","NO","NEW"
"popcorn","Popcorn 2kg","2000","Corn","corn","Christmas;pop corn;popping corn;Xmas Cooking;Xmas Snacks","NO","NEW"
"pappadoms-coin","Pappadoms Madras (Coin size) 200g","200","Pappadoms","pappadoms","Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;spring","NO","NEW"
"big-d-honey-roast-peanuts-24x50g-packs-on-a-pub-card","Big D Honey Roast Peanuts 12x50g Packs on a Pub Card","700","Flavoured Nuts","flavoured-nuts-snacks","2021BEST;Christmas;offer;special offer;Xmas Snacks","NO","NEW"
"coriander-mint-sauce","Coriander Mint Sauce 340g","310","Sauce","chutneys-pickles-sauces","corriander;daniya;dhaniya;spring","NO","NEW"
"tamarind-date-sauce","Tamarind & Date Sauce 340g","340","Sauce","chutneys-pickles-sauces","Christmas;chutney;imli;spring;tamrind;Xmas Snacks","NO","NEW"
"garlic-chilli-sauce","Garlic & Chilli Sauce 340g","340","Sauce","chutneys-pickles-sauces","chili;Christmas;spring;Xmas Snacks","NO","NEW"
"chilli-sauce-hot","Chilli Sauce Hot 310g","310","Sauce","chutneys-pickles-sauces","chili;chillies;Christmas;lal mirch;spring","NO","NEW"
"tamarindsauce","Tamarind Sauce 340g","340","Sauce","chutneys-pickles-sauces","Christmas;chutney;imli;tamrind;Xmas Snacks","NO","NEW"
"bombay-sandwich-spread","Bombay Sandwich Spread 280g","280","Sauce","chutneys-pickles-sauces","chiwda","NO","NEW"
"mango-chutney-sweet","Mango Chutney Sweet 340g","340","Chutney","chutneys-pickles-sauces","aam;amchoor;Mango","NO","NEW"
"mango-chutney-spicy","Mango Chutney Spicy 340g","340","Chutney","chutneys-pickles-sauces","aam;amchoor;Christmas;Mango;Xmas Snacks","NO","NEW"
"brinjal-chutney-sweet","Brinjal Chutney Sweet 300g","300","Chutney","chutneys-pickles-sauces","aubergine;aubergine chutney;eggplant","NO","NEW"
"chundo-chutney-sweet","Chundo Chutney Sweet 340g","340","Chutney","chutneys-pickles-sauces","aam;amchoor;chhundo;mango chutney","NO","NEW"
"gorkeri-chutney-sweet","Gorkeri Chutney Sweet 300g","300","Chutney","chutneys-pickles-sauces","aam;amchoor;mango","NO","NEW"
"garlicpickle","Garlic Pickle 300g","300","Pickles","chutneys-pickles-sauces","garlick;garlik","NO","NEW"
"lime-pickle-hot","Lime Pickle Hot 300g","300","Chutney","chutneys-pickles-sauces","lime chutney;Mango","NO","NEW"
"mixedpickle","Mixed Pickle 300g","300","Pickles","chutneys-pickles-sauces","chutney;pikle","NO","NEW"
"chilli-pickle-hot","Chilli Pickle Hot 300g","300","Pickles","chutneys-pickles-sauces","chili;chillies;lal mirch","NO","NEW"
"mango-pickle-hot","Mango Pickle Hot 300g","300","Pickles","chutneys-pickles-sauces","aam;amchoor;mango","NO","NEW"
"pappadoms-pepper","Pappadoms Black Pepper 200g","200","Pappadoms","pappadoms","2021BEST;2024BEST;Christmas;Papad;pappad;popadoms;popadums;Poppadoms;poppadums;poppodums;Xmas Snacks","NO","NEW"
