natco_handle,title,variant_weight,natco_type,natco_subcategory,our_subcategory,in_catalog,our_product_id,our_categories,match_status
alubia-beans,Alubia Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVBJ59N47WT0WWWT24BZX9,dried-lentils-beans-peas,OK
alubia-beans1,Alubia Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVBJ98JHZSJ84YX8JDC287,dried-lentils-beans-peas,OK
bhel-puri-kit-500g,Bhel Puri Kit 500g,500g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,YES,prod_01KSQVBG11N4NX1GM5P2CTJV2G,namkeen-lentil-snacks,OK
black-eye-beans,Black Eye Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVBJD5N654S1PMD0H3XS7D,dried-lentils-beans-peas,OK
black-eye-beans1,Black Eye Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVC2GB0KH4EK6F5PYDAS4P,dried-lentils-beans-peas,OK
black-eyed-beans-400g,Black Eyed Beans 400g,400g,Tinned Lentils; Beans,tinned-lentils-beans,tinned-lentils-beans,YES,prod_01KSQVBFHAMYRERVWYX1GRYHMY,tinned-products-parent,FIXED
brown-chick-peas,Brown Chick Peas 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,NO,,,FIXED
brown-chick-peas1,Brown Chick Peas 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,NO,,,FIXED
brown-lentils,Brown Lentils 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVC2WCT1FXBKPHBRGZMD8D,masoor-dal-red-lentils; dried-lentils-beans-peas,FIXED
brown-lentils1,Brown Lentils 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,YES,prod_01KSQVC306NT16SBPCEG268HDZ,masoor-dal-red-lentils; dried-lentils-beans-peas,FIXED
