"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"ajwanseeds","Ajwan Seeds 300g","300","Spices","spices-herbs","ajwain;carem;carom;lovage","no","in_shopify_only"
"ajwan-seeds-jar","Ajwan Seeds Jar 100g","100","Spice & Herb Jars","spice-herb-jars","ajwain;BesanPuri;carem;carom;lovage","no","in_shopify_only"
"all-seasoning","All Purpose Seasoning 400g","400","Spice Blends and Mixes","spice-blends-mixes","2024BEST;masala;mosola","no","in_shopify_only"
"all-seasoning-small","All Purpose Seasoning 100g","100","Spice Blends and Mixes","spice-blends-mixes","masala;mosola","no","in_shopify_only"
"almond-essence","Almond Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","almond;badam;Christmas;essence;essences;flavouring;flavourings;new;Xmas Cooking","no","in_shopify_only"
"amchoor-powder","Amchoor Powder 400g","400","Spices","spices-herbs","aam;aamchoor;amchur;mango powder","no","in_shopify_only"
"amchoor-powder-jar","Amchoor Powder Jar 100g","100","Spice & Herb Jars","spice-herb-jars","2021BEST;aam;aamchoor;amchur;mango powder","no","in_shopify_only"
"anardana-powder-mangal","Anardana Powder Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","anadana;mdh;pomegranate;pomigranate","no","in_shopify_only"
"aniseed-star-jar","Aniseed Star Jar 40g","40","Spice & Herb Jars","spice-herb-jars","anise;badian;Christmas;mulled;star anise;staranise;Xmas Cooking","no","in_shopify_only"
"asafoetida-jar","Asafoetida (Hing) Jar 100g","100","Spice & Herb Jars","spice-herb-jars","2022BEST;2024BEST;asafatida;badian;heeng;hing","no","in_shopify_only"
"basil-jar","Basil Jar 25g","25","Herbs","spices-herbs","tulsi","no","in_shopify_only"
"bay-leaves-jar","Bay Leaves Jar 10g","10","Spice & Herb Jars","spice-herb-jars","bay leaf;Dal Recipe;indian bay leaves;laurel;mulled;tajpatta;tejpatta","no","in_shopify_only"
"biryani-masala-mangal","Biryani Masala Mangal 50g","50","Spice Blends and Mixes","spice-blends-mixes","bhiriyani;bhiryani;biriyani;mdh","no","in_shopify_only"
"black-pepper-coarse","Black Pepper Coarse 300g","300","Spices","spices-herbs","2025BEST;kali mirch;mirch","no","in_shopify_only"
"black-pepper-coarse1","Black Pepper Coarse 100g","100","Spices","spices-herbs","2025BEST;Christmas;kali mirch;mirch;Xmas Cooking","no","in_shopify_only"
"black-pepper-coarse2","Black Pepper Coarse 1kg","1000","Spices","spices-herbs","2025BEST;kali mirch;mirch","no","in_shopify_only"
"black-pepper-ground","Black Pepper Ground 400g","400","Spices","spices-herbs","kali mirch;mirch","no","in_shopify_only"
"black-pepper-ground-jar","Black Pepper Ground Jar 100g","100","Spice & Herb Jars","spice-herb-jars","BesanPuri;Christmas;kali mirch;mirch;Xmas Cooking","no","in_shopify_only"
"black-pepper-whole","Black Pepper Whole 1kg","1000","Spices","spices-herbs","kali mirch;mirch;peppercorns;whole peppercorns","no","in_shopify_only"
"black-pepper-whole1","Black Pepper Whole 300g","300","Spices","spices-herbs","Christmas;kali mirch;mirch;whole peppercorns;Xmas Cooking","no","in_shopify_only"
"black-pepper-whole-jar","Black Pepper Whole Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Christmas;kali mirch;mirch;peppercorns;whole peppercorns;Xmas Cooking","no","in_shopify_only"
"cardamomgreen","Cardamom Green 200g","200","Spices","spices-herbs","cardamon;cardamum;cardomen;elachi;elaichi","no","in_shopify_only"
"cardamom-green-ground","Cardamom Green Ground 50g","50","Spices","spices-herbs","cardamom powder;cardamon;cardamon powder;cardamum;cardomen;Christmas;diwali2022;elachi;elaichi;Xmas Cooking","no","in_shopify_only"
"cardamom-green-jar","Cardamom Green Jar 50g","50","Spice & Herb Jars","spice-herb-jars","cardamon;cardamum;cardomen;Christmas;diwali2022;elachi;elaichi;Xmas Cooking","no","in_shopify_only"
"cardamomseeds","Cardamom Seeds 100g","100","Spices","spices-herbs","cardamon;cardamum;cardomen;diwali2022;elachi;elaichi","no","in_shopify_only"
"cassia","Cassia (Dalchini) 400g","400","Spices","spices-herbs","cinnamon;dalchini","no","in_shopify_only"
"cassia-dalchini-jar","Cassia (Dalchini) Jar 50g","50","Spice & Herb Jars","spice-herb-jars","Christmas;cinnamon;dalchini;Xmas Cooking","no","in_shopify_only"
"chana-masala-mangal","Chana Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","bengal gram;chana;channa;gram;mdh","no","in_shopify_only"
"chat-masala-mangal","Chat Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","chaat;mdh;mosola","no","in_shopify_only"
"chicken-masala-mangal","Chicken Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","mdh;mosola","no","in_shopify_only"
"chilli-crushed-jar","Chilli Crushed Jar 80g","80","Spice & Herb Jars","spice-herb-jars","chili;chilli flakes;chillies;lal mirch","no","in_shopify_only"
"chilli-powder","Chilli Powder 1kg","1000","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-powder1","Chilli Powder 100g","100","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-powder-extra-hot","Chilli Powder Extra Hot 400g","400","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-powder-hot-jar","Chilli Powder Hot Jar 100g","100","Spice & Herb Jars","spice-herb-jars","chili;chillies;Dal Recipe;lal mirch","no","in_shopify_only"
"chilli-powder-kashmiri","Chilli Powder Kashmiri 400g","400","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-powder-kashmiri1","Chilli Powder Kashmiri 100g","100","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-whole-birdseye","Chilli Whole Birdseye 150g","150","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chilli-whole-stemless","Chilli Whole Stemless 200g","200","Spices","spices-herbs","chili;chillies;lal mirch","no","in_shopify_only"
"chinese-5-spice","Chinese 5 Spice 100g","100","Spices","spices-herbs","five spice;five spice powder;panch puran","no","in_shopify_only"
