product_handle,brand_handle,variant_handle,barcode,backup_barcodes,images,thumbnail,is_active
hamdard-rooh-afza,generic,1-5l,GEN_hamdard-rooh-afza_1.5l,GEN_hamdard-rooh-afza_1.5l;ALT_hamdard-rooh-afza_1.5l,hamdard-rooh-afza.jpg,hamdard-rooh-afza.jpg,true
maaza-mango-drink,generic,1l,GEN_maaza-mango-drink_1l,GEN_maaza-mango-drink_1l;ALT_maaza-mango-drink_1l,maaza-mango-drink.jpg,maaza-mango-drink.jpg,true
kadugu-manga,aachi,300g,GEN_aachi-kadugu-manga_300g,GEN_aachi-kadugu-manga_300g;ALT_aachi-kadugu-manga_300g,aachi_kadugu-manga.jpg,aachi_kadugu-manga.jpg,true
lemon-pickle,aachi,300g,GEN_aachi-lemon-pickle_300g,GEN_aachi-lemon-pickle_300g;ALT_aachi-lemon-pickle_300g,aachi_lemon-pickle.jpg,aachi_lemon-pickle.jpg,true
mango-pickle,aachi,500g,GEN_aachi-mango-pickle_500g,GEN_aachi-mango-pickle_500g;ALT_aachi-mango-pickle_500g,aachi_mango-pickle.jpg,aachi_mango-pickle.jpg,true
atta-select,aashirvaad,10kg,GEN_aashirvaad-atta-select_10kg,GEN_aashirvaad-atta-select_10kg;ALT_aashirvaad-atta-select_10kg,aashirvaad-atta-select.jpg,aashirvaad-atta-select.jpg,true
atta-select,aashirvaad,5kg,GEN_aashirvaad-atta-select_5kg,GEN_aashirvaad-atta-select_5kg;ALT_aashirvaad-atta-select_5kg,aashirvaad-atta-select.jpg,aashirvaad-atta-select.jpg,true
dark-chocolate,amul,150g,GEN_amul-dark-chocolate_150g,GEN_amul-dark-chocolate_150g;ALT_amul-dark-chocolate_150g,amul_dark-chocolate.jpg,amul_dark-chocolate.jpg,true
pure-ghee,amul,1kg,GEN_amul-pure-ghee_1kg,GEN_amul-pure-ghee_1kg;ALT_amul-pure-ghee_1kg,amul_pure-ghee.jpg,amul_pure-ghee.jpg,true
bombay-potato,ashoka,280g,GEN_ashoka-bombay-potato_280g,GEN_ashoka-bombay-potato_280g;ALT_ashoka-bombay-potato_280g,ashoka_bombay-potato.jpg,ashoka_bombay-potato.jpg,true
butter-chicken,ashoka,280g,GEN_ashoka-butter-chicken_280g,GEN_ashoka-butter-chicken_280g;ALT_ashoka-butter-chicken_280g,ashoka_butter-chicken.jpg,ashoka_butter-chicken.jpg,true
chana-masala,ashoka,280g,GEN_ashoka-chana-masala_280g,GEN_ashoka-chana-masala_280g;ALT_ashoka-chana-masala_280g,ashoka-chana-masala.png,ashoka-chana-masala.png,true
dal-makhani,ashoka,280g,GEN_ashoka-dal-makhani_280g,GEN_ashoka-dal-makhani_280g;ALT_ashoka-dal-makhani_280g,ashoka-dal-makhani.jpg,ashoka-dal-makhani.jpg,true
mutter-paneer,ashoka,280g,GEN_ashoka-mutter-paneer_280g,GEN_ashoka-mutter-paneer_280g;ALT_ashoka-mutter-paneer_280g,ashoka-mutter-paneer.png,ashoka-mutter-paneer.png,true
palak-paneer,ashoka,280g,GEN_ashoka-palak-paneer_280g,GEN_ashoka-palak-paneer_280g;ALT_ashoka-palak-paneer_280g,ashoka-palak-paneer.jpg,ashoka-palak-paneer.jpg,true
rajma-masala,ashoka,280g,GEN_ashoka-rajma-masala_280g,GEN_ashoka-rajma-masala_280g;ALT_ashoka-rajma-masala_280g,ashoka-rajma-masala.jpg,ashoka-rajma-masala.jpg,true
tarka-dhal,ashoka,280g,GEN_ashoka-tarka-dhal_280g,GEN_ashoka-tarka-dhal_280g;ALT_ashoka-tarka-dhal_280g,ashoka_tarka-dhal.jpg,ashoka_tarka-dhal.jpg,true
gulab-jamun-tin,bikaji,1kg,GEN_bikaji-gulab-jamun-tin_1kg,GEN_bikaji-gulab-jamun-tin_1kg;ALT_bikaji-gulab-jamun-tin_1kg,bikaji-gulab-jamun-tin.png,bikaji-gulab-jamun-tin.png,true
