product_handle,brand_handle,variant_handle,price_gbp,currency
hamdard-rooh-afza,generic,1-5l,6.99,gbp
maaza-mango-drink,generic,1l,2.49,gbp
atta-select,aashirvaad,10kg,10.99,gbp
atta-select,aashirvaad,5kg,5.99,gbp
bourbon-cream,britannia,200g,4.99,gbp
good-day-butter-cookies,britannia,150g,4.99,gbp
good-day-cashew-cookies,britannia,150g,4.99,gbp
marie-gold,britannia,200g,4.99,gbp
rozana-basmati,daawat,5kg,9.99,gbp
atta-chakki-fresh,elephant,5kg,4.99,gbp
atta-chakki-fresh,elephant,10kg,9.99,gbp
super-basmati,falak,5kg,4.99,gbp
aloo-bhujia,haldirams,1kg,3.99,gbp
aloo-bhujia,haldirams,400g,1.99,gbp
gulab-jamun-tin,haldirams,1kg,5.99,gbp
gulab-jamun-tin,haldirams,500g,4.99,gbp
moong-dal,haldirams,400g,2.49,gbp
rasgulla-tin,haldirams,1kg,4.99,gbp
soan-papdi,haldirams,500g,4.99,gbp
extra-long-basmati,kohinoor,5kg,8.99,gbp
extra-long-basmati,kohinoor,2kg,5.99,gbp
premium-basmati,lal-qilla,10kg,9.99,gbp
premium-basmati,lal-qilla,5kg,4.99,gbp
moong-dal-papad,lijjat,200g,2.49,gbp
urad-papad-extra-thin,lijjat,200g,2.49,gbp
urad-special-papad,lijjat,200g,2.49,gbp
2-minute-noodles-masala,maggi,4pack,4.99,gbp
2-minute-noodles-masala-8-pack,maggi,8pack,4.99,gbp
hot-sweet-sauce,maggi,400g,4.99,gbp
lemon-juice,natco,500ml,1.30,gbp
lemon-juice-with-essential-oil,natco,200ml,0.70,gbp
pure-mustard-oil,natco,250ml,2.25,gbp
rose-water,natco,310ml,1.80,gbp
kevda-water,natco,310ml,1.80,gbp
coconut-flavouring-essence,natco,28ml,0.45,gbp
pineapple-flavouring-essence,natco,28ml,0.45,gbp
strawberry-flavouring-essence,natco,28ml,0.45,gbp
rose-flavouring-essence,natco,28ml,0.45,gbp
almond-flavouring-essence,natco,28ml,0.45,gbp
vanilla-flavouring-essence,natco,28ml,0.45,gbp
green-food-colouring-liquid,natco,28ml,0.45,gbp
red-food-colouring-liquid,natco,28ml,0.45,gbp
orange-food-colouring-liquid,natco,28ml,0.45,gbp
green-food-colouring-powder,natco,25g,0.45,gbp
red-food-colouring-powder,natco,25g,0.40,gbp
orange-food-colouring-powder,natco,25g,0.50,gbp
yellow-food-colouring-powder,natco,25g,0.40,gbp
tandoori-masala-jar,natco,100g,1.60,gbp
garam-masala-jar,natco,80g,1.70,gbp
coriander-ground-jar,natco,70g,1.15,gbp
cloves-jar,natco,50g,1.90,gbp
cinnamon-ground-jar,natco,100g,1.50,gbp
cassia-dalchini-jar,natco,50g,1.80,gbp
chilli-powder-hot-jar,natco,100g,1.25,gbp
chilli-crushed-jar,natco,80g,1.45,gbp
cardamom-green-jar,natco,50g,4.10,gbp
bay-leaves-jar,natco,10g,1.50,gbp
asafoetida-hing-jar,natco,100g,1.90,gbp
aniseed-star-jar,natco,40g,1.65,gbp
amchoor-powder-jar,natco,100g,1.60,gbp
ajwan-seeds-jar,natco,100g,1.30,gbp
tandoori-masala,natco,400g,3.45,gbp
mixed-masala-whole,natco,300g,3.55,gbp
kasuri-methi-leaves,natco,100g,1.95,gbp
garam-masala,natco,400g,4.90,gbp
vermice-t-apos-dini-fedelini,natco,500g,2.35,gbp
black-chia-seeds,natco,250g,2.30,gbp
peanut-gachak-peanut-brittle,natco,400g,3.15,gbp
sugar-candy,natco,375g,2.30,gbp
soya-mince,natco,300g,1.85,gbp
soya-chunks,natco,350g,2.25,gbp
soya-chunks,natco,700g,4.60,gbp
sesame-seeds-hulled,natco,1-5kg,5.70,gbp
sesame-seeds-natural,natco,400g,1.55,gbp
sagoo-seeds-medium,natco,1-5kg,3.25,gbp
sunflower-seeds,natco,1kg,2.95,gbp
sunflower-seeds,natco,300g,1.20,gbp
powa-medium-flaked-rice,natco,1kg,3.20,gbp
white-poppy-seeds,natco,300g,3.70,gbp
white-poppy-seeds,natco,100g,1.35,gbp
linseed-brown,natco,1kg,3.05,gbp
linseed-brown,natco,400g,1.35,gbp
pumpkin-seeds,natco,250g,2.20,gbp
popcorn,natco,2kg,3.20,gbp
popcorn,natco,500g,0.90,gbp
crispy-fried-onions,natco,150g,2.05,gbp
crispy-fried-onions,natco,400g,2.75,gbp
jaggery,natco,500g,1.55,gbp
daria-dal,natco,300g,2.05,gbp
phool-makhana-popped-lotus-seeds,natco,100g,3.45,gbp
daria-gotta-large,natco,700g,7.25,gbp
daria-gotta-small,natco,300g,2.00,gbp
gram-roasted-salted,natco,300g,1.55,gbp
gram-roasted-unsalted,natco,300g,1.55,gbp
idli-rice,natco,5kg,10.50,gbp
ponni-rice,natco,5kg,11.40,gbp
sona-masuri-rice,natco,5kg,11.05,gbp
easycook-parboiled-rice,natco,5kg,8.40,gbp
long-grain-white-rice,natco,5kg,8.15,gbp
basmati-rice-kernel,natco,5kg,13.95,gbp
basmati-rice-india,natco,2kg,5.10,gbp
basmati-rice-india-bag,natco,5kg,4.99,gbp
pappadoms-madras-papa-brand,natco,250g,1.85,gbp
pappadoms-madras-coin-size,natco,200g,2.55,gbp
pappadoms-punjabi-microwavable,natco,200g,1.60,gbp
pappadoms-plain-microwavable,natco,200g,1.35,gbp
pappadoms-jeera-microwavable,natco,200g,1.45,gbp
pappadoms-black-pepper,natco,200g,1.35,gbp
luxury-fruit-amp-nuts-mix,natco,750g,4.99,gbp
luxury-fruit-amp-nut-mix,natco,250g,4.99,gbp
pistachio-kernels,natco,1kg,36.60,gbp
pistachio-kernels,natco,250g,9.90,gbp
pistachio-kernels,natco,100g,3.95,gbp
roasted-amp-salted-pistachio-nuts,natco,100g,4.99,gbp
roasted-amp-salted-pistachio-nuts,natco,1kg,4.99,gbp
roasted-amp-salted-pistachio-nuts,natco,300g,4.99,gbp
roasted-monkey-nuts,natco,300g,1.70,gbp
peanuts-red,natco,1kg,4.50,gbp
peanuts-red,natco,400g,1.80,gbp
coconut-halves,natco,250g,2.75,gbp
coconut-flakes,natco,200g,2.30,gbp
coconut-milk-powder,natco,300g,3.20,gbp
coconut-desiccated-fine,natco,300g,2.35,gbp
coconut-desicated-medium,natco,1kg,7.60,gbp
cashew-roasted-salted,natco,250g,3.35,gbp
cashew-large-white-pieces,natco,750g,6.70,gbp
cashew-split,natco,1kg,10.85,gbp
cashew-kernel,natco,300g,4.10,gbp
cashew-kernel,natco,1kg,13.15,gbp
walnut-halves,natco,700g,10.30,gbp
walnut-halves,natco,200g,3.55,gbp
pecans,natco,200g,4.40,gbp
almond-blanched-whole,natco,250g,3.45,gbp
blanched-almond-whole,natco,700g,9.40,gbp
almond-flakes,natco,1kg,13.30,gbp
almond-flakes,natco,300g,4.10,gbp
almonds-ground,natco,300g,4.85,gbp
almonds,natco,1kg,12.20,gbp
almonds,natco,400g,4.95,gbp
pavbhaji-masala-mangal,natco,100g,1.55,gbp
biryani-masala-mangal,natco,50g,1.20,gbp
chicken-masala-mangal,natco,100g,1.25,gbp
sambhar-masala-mangal,natco,100g,1.30,gbp
pickle-masala-mangal,natco,125g,1.40,gbp
meat-masala-mangal,natco,100g,1.30,gbp
chat-masala-mangal,natco,100g,1.25,gbp
chana-masala-mangal,natco,100g,1.25,gbp
anardana-powder-mangal,natco,100g,2.10,gbp
soya-beans,natco,2kg,5.00,gbp
soya-beans,natco,500g,1.35,gbp
red-lentils-polished,natco,2kg,3.85,gbp
red-lentils-polished,natco,1kg,2.40,gbp
mung-dal-yellow,natco,1kg,3.20,gbp
mung-dal-yellow,natco,2kg,5.90,gbp
mung-split,natco,2kg,6.45,gbp
mung-split,natco,500g,1.75,gbp
mung-beans,natco,1kg,2.70,gbp
mung-beans,natco,2kg,4.40,gbp
green-lentils,natco,1kg,3.20,gbp
green-lentils,natco,2kg,6.15,gbp
chanadal-polished,natco,1kg,3.15,gbp
chanadal-polished,natco,2kg,3.85,gbp
brown-lentils,natco,2kg,4.49,gbp
brown-lentils,natco,500g,1.15,gbp
butter-beans,natco,2kg,9.25,gbp
butter-beans,natco,500g,2.45,gbp
black-eye-beans,natco,2kg,5.55,gbp
black-eye-beans,natco,500g,1.50,gbp
alubia-beans,natco,500g,1.80,gbp
alubia-beans,natco,2kg,6.80,gbp
coconut-water,natco,330ml,0.95,gbp
coconut-water,natco,1l,2.45,gbp
rose-syrup,natco,725ml,2.70,gbp
dried-tarragon,natco,25g,1.55,gbp
sage-jar,natco,25g,1.15,gbp
parsley-jar,natco,25g,1.20,gbp
oregano-jar,natco,25g,1.30,gbp
mixed-herbs-jar,natco,25g,1.20,gbp
mint-jar,natco,30g,1.15,gbp
marjoram-jar,natco,20g,1.00,gbp
coriander-leaves-jar,natco,25g,1.25,gbp
basil-jar,natco,25g,1.05,gbp
milk-powder,natco,750g,8.25,gbp
milk-powder,natco,300g,3.90,gbp
ragi-flour,natco,900g,2.20,gbp
millet-bajri-flour,natco,900g,2.40,gbp
couscous,natco,500g,1.85,gbp
semolina-extra-coarse,natco,1-5kg,3.95,gbp
semolina-coarse,natco,1-5kg,2.90,gbp
semolina-coarse,natco,500g,1.20,gbp
semolina-fine,natco,1-5kg,2.90,gbp
semolina-fine,natco,500g,1.20,gbp
rice-flour,natco,500g,1.15,gbp
ground-rice,natco,1-5kg,3.10,gbp
ground-rice,natco,500g,1.15,gbp
gram-flour-papa-brand,natco,2kg,3.90,gbp
gram-flour-superfine,natco,2kg,4.50,gbp
gram-flour-superfine,natco,1kg,2.50,gbp
gram-flour-superfine,natco,500g,1.40,gbp
white-maize-meal,natco,1-5kg,3.20,gbp
cornmeal-medium,natco,1-5kg,2.30,gbp
cornmeal-medium,natco,500g,0.80,gbp
cornmeal-fine,natco,1-5kg,2.40,gbp
cornmeal-fine,natco,500g,0.90,gbp
chakki-atta-multigrain,natco,5kg,11.55,gbp
chapati-flour-medium,natco,1-5kg,2.70,gbp
chapati-flour-white,natco,1-5kg,2.70,gbp
golden-raisins,natco,1kg,6.55,gbp
golden-raisins,natco,100g,0.85,gbp
toovar,natco,400g,1.40,gbp
suran-yam,natco,400g,1.30,gbp
punjabi-tinda-full-case-12x400g,natco,400g,4.99,gbp
okra-full-case-12x400g,natco,400g,4.99,gbp
lotus-root,natco,400g,1.55,gbp
karela,natco,400g,1.20,gbp
sarson-ka-saag,natco,450g,1.45,gbp
patra,natco,400g,1.30,gbp
tomatoes-chopped-full-case-12x400g,natco,400g,4.99,gbp
tomatoes-peeled,natco,400g,0.65,gbp
tomato-paste,natco,800g,2.60,gbp
spinach-leaf,natco,396g,1.25,gbp
rose-coco-borlotti-beans,natco,2kg,5.60,gbp
rose-coco-borlotti-beans,natco,500g,1.50,gbp
rose-coco-borlotti-beans,natco,400g,0.60,gbp
coconut-oil-parachute-brand,natco,500ml,5.65,gbp
olive-oil-extra-virgin,natco,500ml,4.25,gbp
mango-pulp-kesar,natco,850g,2.60,gbp
mango-slices-alphonso,natco,425g,1.70,gbp
mango-pulp-alphonso,natco,450g,1.75,gbp
ghee-pure-butter,natco,1kg,8.60,gbp
ghee-pure-plough-brand,natco,500g,5.45,gbp
kala-chana-boiled,natco,400g,0.60,gbp
coconut-cream,natco,400ml,1.65,gbp
coconut-milk-light,natco,400ml,1.10,gbp
coconut-milk,natco,400ml,1.45,gbp
coriander-mint-sauce,natco,340g,2.25,gbp
tamarind-amp-date-sauce,natco,340g,4.99,gbp
garlic-amp-chilli-sauce,natco,340g,4.99,gbp
chilli-sauce-hot,natco,310g,2.25,gbp
tamarind-sauce,natco,340g,2.25,gbp
bombay-sandwich-spread,natco,280g,2.10,gbp
garlic-amp-ginger-paste,natco,190g,4.99,gbp
ginger-paste,natco,190g,1.80,gbp
garlic-paste,natco,190g,1.80,gbp
garlic-pickle,natco,300g,2.10,gbp
mango-chutney-sweet,natco,340g,2.05,gbp
mango-chutney-spicy,natco,340g,2.05,gbp
thecha-chilli-paste,natco,300g,1.95,gbp
brinjal-chutney-sweet,natco,300g,2.05,gbp
chundo-chutney-sweet,natco,340g,2.05,gbp
gorkeri-chutney-sweet,natco,300g,2.00,gbp
lime-pickle-hot,natco,300g,2.05,gbp
mixed-pickle,natco,300g,2.05,gbp
chilli-pickle-hot,natco,300g,2.05,gbp
mango-pickle-hot,natco,300g,2.05,gbp
chick-peas,natco,2kg,3.85,gbp
chick-peas,natco,2-5kg,3.45,gbp
chick-peas-full-case-12x400g,natco,400g,4.99,gbp
pomace-olive-oil,natco,1l,4.99,gbp
pomace-olive-oil,natco,5l,4.99,gbp
red-kidney-beans-boiled-full-case-12x400g,natco,400g,4.99,gbp
red-kidney-beans,natco,1kg,3.65,gbp
red-kidney-beans,natco,2kg,5.60,gbp
red-kidney-beans,natco,2-5kg,4.45,gbp
chick-peas-full-case-4x1kg,natco,1kg,4.99,gbp
coconut-flour,natco,200g,2.25,gbp
coconut-flour,natco,1kg,9.25,gbp
all-purpose-seasoning,natco,100g,0.70,gbp
all-purpose-seasoning,natco,400g,2.10,gbp
pine-nuts,natco,75g,2.55,gbp
mamra-basmati,natco,908g,6.00,gbp
mamra-basmati,natco,200g,2.40,gbp
big-d-salted-peanuts-24x50g,natco,50g,11.65,gbp
