product_handle,brand_handle,shelf_weight_kg,status
hamdard-rooh-afza,generic,,published
maaza-mango-drink,generic,,published
kadugu-manga,aachi,,published
lemon-pickle,aachi,,published
mango-pickle,aachi,,published
atta-select,aashirvaad,,published
dark-chocolate,amul,,published
pure-ghee,amul,,published
bombay-potato,ashoka,,published
butter-chicken,ashoka,,published
chana-masala,ashoka,,published
dal-makhani,ashoka,,published
mutter-paneer,ashoka,,published
palak-paneer,ashoka,,published
rajma-masala,ashoka,,published
tarka-dhal,ashoka,,published
gulab-jamun-tin,bikaji,,published
khatta-meetha,bikaji,,published
soan-papdi,bikaji,,published
health-drink,bournvita,,published
grape-soda-6-pack,bovonto,,published
bourbon-cream,britannia,,published
good-day-butter-cookies,britannia,,published
good-day-cashew-cookies,britannia,,published
marie-gold,britannia,,published
red-label-tea,brooke-bond,,published
instant-coffee-original,bru,,published
5-star-indian-import-6-pack,cadbury,,published
gems-indian-import-6-pack,cadbury,,published
perk-indian-import-6-pack,cadbury,,published
hakka-noodles,chings-secret,,published
schezwan-noodles,chings-secret,,published
schezwan-sauce,chings-secret,,published
rozana-basmati,daawat,,published
chyawanprash,dabur,,published
chana-dal,east-end,,published
coriander-powder,east-end,,published
ginger-garlic-paste,east-end,,published
kabuli-chana,east-end,,published
kashmiri-chilli-powder,east-end,,published
moong-dal-washed,east-end,,published
red-split-lentils,east-end,,published
sooji-fine,east-end,,published
toor-dal-oily,east-end,,published
urad-dal-black-whole,east-end,,published
atta-chakki-fresh,elephant,,published
garam-masala,everest,,published
pav-bhaji-masala,everest,,published
sambhar-masala,everest,,published
tea-masala,everest,,published
super-basmati,falak,,published
mango-drink,frooti,,published
masala-chai-tea-bags-100-box,girnar,,published
mango,glucon-d,,published
digestive-candy-jar-100-tablets,hajmola,,published
aloo-bhujia,haldirams,,published
gulab-jamun-tin,haldirams,,published
moong-dal,haldirams,,published
rasgulla-tin,haldirams,,published
soan-papdi,haldirams,,published
mathri,haldirams,,published
rooh-afza,hamdard,,published
original,horlicks,,published
sesame-gingelly-oil,idhayam,,published
