handle,title,subtitle,description,category_handle,dietary_flags,vat_rate,status
hamdard-rooh-afza,Hamdard Rooh Afza,,Hamdard Rooh Afza 1.5L - Premium quality product.,soft_drinks_juices,vegetarian,0,published
maaza-mango-drink,Maaza Mango Drink,,Maaza Mango Drink - India's iconic mango nectar drink made with Alphonso mango pulp. A weekly trigger for most households.,soft_drinks_juices,vegetarian,0,published
kadugu-manga,Kadugu Manga,,Tamil-style mustard-marinated tender mango pickle. A unique regional speciality.,pickles,vegetarian;vegan;gluten-free,0,published
lemon-pickle,Lemon Pickle,,Tangy Andhra-style lemon pickle. A vibrant accompaniment to rice and dal.,pickles,vegetarian;vegan;gluten-free,0,published
mango-pickle,Mango Pickle,,Pakistani-style mango pickle with aromatic spices. A staple in Pakistani households.,pickles,vegetarian;vegan;gluten-free,0,published
atta-select,Atta Select,,Aashirvaad Atta Select - premium 100% MP Sharbati whole wheat flour from India's #1 atta brand; renowned for soft rotis.,atta_flour,vegetarian,0,published
dark-chocolate,Dark Chocolate,,Premium Indian dark chocolate from Amul. Rich; smooth; and distinctly Indian taste.,sweets_confectionery,vegetarian,0,published
pure-ghee,Pure Ghee,,Amul's legendary pure ghee. Strong brand loyalty â€” customers specifically ask for Amul.,pure_ghee,vegetarian,0,published
bombay-potato,Bombay Potato,,Ready-to-eat spiced potatoes â€” a tangy Mumbai-style side dish or snack.,rte_meals,vegetarian;vegan;gluten-free,0,published
butter-chicken,Butter Chicken,,Ready-to-eat butter chicken. Creamy tomato-based curry with tender chicken pieces.,rte_meals,,0,published
chana-masala,Chana Masala,,Ready-to-eat spicy chickpea curry. Authentic Punjabi flavour in minutes.,rte_meals,vegetarian;vegan;gluten-free,0,published
dal-makhani,Dal Makhani,,Ready-to-eat black lentil curry. Rich; creamy Punjab restaurant classic.,rte_meals,vegetarian; vegan,0,published
mutter-paneer,Mutter Paneer,,Ready-to-eat peas and cottage cheese in tomato gravy. A timeless Indian classic.,rte_meals,vegetarian,0,published
palak-paneer,Palak Paneer,,Ready-to-eat spinach and cottage cheese curry. Classic North Indian vegetarian.,rte_meals,vegetarian,0,published
rajma-masala,Rajma Masala,,Ready-to-eat red kidney bean curry. Hearty Punjabi staple in minutes.,rte_meals,vegetarian;vegan;gluten-free,0,published
tarka-dhal,Tarka Dhal,,Ready-to-eat yellow lentil dal with cumin tempering. Heat in 2 minutes.,rte_meals,vegetarian;vegan;gluten-free,0,published
gulab-jamun-tin,Gulab Jamun Tin,,Haldiram's Gulab Jamun Tin - soft milk-solid dumplings in fragrant sugar syrup. Ready to serve; ambient storage.,sweets_confectionery,vegetarian,0,published
khatta-meetha,Khatta Meetha,,Sweet and sour chickpea flour noodles with peanuts and dried fruit. Uniquely addictive.,savouries_papadoms,vegetarian,0,published
soan-papdi,Soan Papdi,,Haldiram's Soan Papdi - flaky; melt-in-the-mouth gram flour sweet with pistachios and cardamom. The #1 Diwali gifting product in UK Indian market.,sweets_confectionery,vegetarian,0,published
health-drink,Health Drink,,Classic malted chocolate health drink fortified with vitamins and minerals. A childhood staple across India.,health_malted_drinks,vegetarian,0,published
grape-soda-6-pack,Grape Soda 6-Pack,,Cult Tamil grape soda. A product that generates word-of-mouth just by being stocked.,soft_drinks_juices,vegetarian;vegan;gluten-free,0,published
bourbon-cream,Bourbon Cream,,Britannia Bourbon Cream - rich chocolate cream-filled sandwich biscuits with a satisfying snap.,biscuits_crackers,vegetarian,0,published
good-day-butter-cookies,Good Day Butter Cookies,,Britannia Good Day Butter Cookies - rich and crumbly butter cookies with a hint of cardamom. A daily tea-time essential.,biscuits_crackers,vegetarian,0,published
good-day-cashew-cookies,Good Day Cashew Cookies,,Britannia Good Day Cashew Cookies - buttery cookies studded with real cashew pieces for a premium tea-time treat.,biscuits_crackers,vegetarian,0,published
marie-gold,Marie Gold,,Britannia Marie Gold - light and crisp tea biscuits made with whole wheat; perfect for dunking in chai.,biscuits_crackers,vegetarian,0,published
red-label-tea,Red Label Tea,,India's favourite loose leaf black tea blend. Rich; strong and full-bodied.,tea_coffee,vegetarian;vegan;gluten-free,0,published
instant-coffee-original,Instant Coffee Original,,India's favourite instant coffee. Chicory blend for the classic South Indian filter coffee taste.,tea_coffee,vegetarian;vegan;gluten-free,0,published
5-star-indian-import-6-pack,5 Star Indian Import 6-Pack,,Rich caramel and chocolate bar imported from India. Nostalgic taste; cult following.,sweets_confectionery,vegetarian,0,published
