product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
hamdard-rooh-afza,generic,1-5l,multiple_suppliers,generic-generic-hamdard-rooh-afza-15l,,true
maaza-mango-drink,generic,1l,multiple_suppliers,generic-generic-maaza-mango-drink-1l,,true
kadugu-manga,aachi,300g,aachi_foods,aachi-aachi-kadugu-manga-300g,,true
lemon-pickle,aachi,300g,aachi_foods,aachi-aachi-lemon-pickle-300g,,true
mango-pickle,aachi,500g,aachi_foods,aachi-aachi-mango-pickle-500g,,true
atta-select,aashirvaad,5kg,multiple_suppliers,aashirvaad-aashirvaad-aashirvaad-atta-select-5kg,,true
atta-select,aashirvaad,10kg,multiple_suppliers,aashirvaad-aashirvaad-aashirvaad-atta-select-10kg,,true
dark-chocolate,amul,150g,multiple_suppliers,amul-amul-dark-chocolate-150g,,true
pure-ghee,amul,1kg,multiple_suppliers,amul-amul-ghee-1kg,,true
bombay-potato,ashoka,280g,ashoka_foods,ashoka-ashoka-bombay-potato-280g,,true
butter-chicken,ashoka,280g,ashoka_foods,ashoka-ashoka-butter-chicken-280g,,true
chana-masala,ashoka,280g,ashoka_foods,ashoka-ashoka-chana-masala-280g,,true
dal-makhani,ashoka,280g,ashoka_foods,ashoka-ashoka-dal-makhani-280g,,true
mutter-paneer,ashoka,280g,ashoka_foods,ashoka-ashoka-mutter-paneer-280g,,true
palak-paneer,ashoka,280g,ashoka_foods,ashoka-ashoka-palak-paneer-280g,,true
rajma-masala,ashoka,280g,ashoka_foods,ashoka-ashoka-rajma-masala-280g,,true
tarka-dhal,ashoka,280g,ashoka_foods,ashoka-ashoka-tarka-dhal-280g,,true
gulab-jamun-tin,bikaji,1kg,bikaji_foods,bikaji-bikaji-gulab-jamun-tin-1kg,,true
khatta-meetha,bikaji,200g,bikaji_foods,bikaji-bikaji-khatta-meetha-200g,,true
soan-papdi,bikaji,500g,bikaji_foods,bikaji-bikaji-soan-papdi-500g,,true
health-drink,bournvita,500g,multiple_suppliers,bournvita-bournvita-500g,,true
grape-soda-6-pack,bovonto,300ml,multiple_suppliers,bovonto-bovonto-grape-6pack,,true
bourbon-cream,britannia,200g,britannia_ind,britannia-britannia-britannia-bourbon-cream-200g,,true
good-day-butter-cookies,britannia,150g,britannia_ind,britannia-britannia-britannia-good-day-butter-cookies-150g,,true
good-day-cashew-cookies,britannia,150g,britannia_ind,britannia-britannia-britannia-good-day-cashew-cookies-150g,,true
marie-gold,britannia,200g,britannia_ind,britannia-britannia-britannia-marie-gold-200g,,true
red-label-tea,brooke-bond,500g,multiple_suppliers,brooke-bond-brooke-bond-tea-500g,,true
