handle,unit_type,unit_value,unit_label,display_title
1-5l,volume,1.5,l,1.5L
1l,volume,1,l,1L
300g,weight,300,g,300g
500g,weight,500,g,500g
5kg,weight,5,kg,5kg
10kg,weight,10,kg,10kg
150g,weight,150,g,150g
1kg,weight,1,kg,1kg
280g,weight,280,g,280g
200g,weight,200,g,200g
300ml,volume,300,ml,300ml
100g,weight,100,g,100g
240g,weight,240,g,240g
250g,weight,250,g,250g
2kg,weight,2,kg,2kg
400g,weight,400,g,400g
750ml,volume,750,ml,750ml
4pack,count,4,pack,4-Pack
8pack,count,8,pack,8-Pack
500ml,volume,500,ml,500ml
200ml,volume,200,ml,200ml
250ml,volume,250,ml,250ml
310ml,volume,310,ml,310ml
28ml,volume,28,ml,28ml
25g,weight,25,g,25g
80g,weight,80,g,80g
70g,weight,70,g,70g
50g,weight,50,g,50g
10g,weight,10,g,10g
40g,weight,40,g,40g
375g,weight,375,g,375g
700g,weight,700,g,700g
350g,weight,350,g,350g
1-5kg,weight,1.5,kg,1.5kg
750g,weight,750,g,750g
125g,weight,125,g,125g
330ml,volume,330,ml,330ml
725ml,volume,725,ml,725ml
30g,weight,30,g,30g
20g,weight,20,g,20g
900g,weight,900,g,900g
450g,weight,450,g,450g
800g,weight,800,g,800g
396g,weight,396,g,396g
850g,weight,850,g,850g
425g,weight,425,g,425g
400ml,volume,400,ml,400ml
340g,weight,340,g,340g
310g,weight,310,g,310g
190g,weight,190,g,190g
2-5kg,weight,2.5,kg,2.5kg
5l,volume,5,l,5l
75g,weight,75,g,75g
908g,weight,908,g,908g
12multipack,count,12,multipack,12x50g
395g,weight,395,g,395g
794g,weight,794,g,794g
60g,weight,60,g,60g
65g,weight,65,g,65g
1g,weight,1,g,1g
40piece,count,40,piece,40-Piece Bag
283g,weight,283,g,283g
290g,weight,290,g,290g
3kg,weight,3,kg,3kg
4kg,weight,4,kg,4kg
25kg,weight,25,kg,25kg
20kg,weight,20,kg,20kg
190ml,volume,190,ml,190ml
1piece,each,1,piece,Single
