product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw,sourcing_depot
aashirvaad-atta-select,aashirvaad-aashirvaad-atta-select-5kg,GEN_aashirvaad-atta-select_5kg,5kg,5,kg,/images/products/aashirvaad-atta-select.jpg,B,,,See product packaging for full ingredients list,,India,5kg,Aashirvaad-aashirvaad-atta-select-v0,fresh_supplier
aashirvaad-atta-select,aashirvaad-aashirvaad-atta-select-10kg,GEN_aashirvaad-atta-select_10kg,10kg,10,kg,/images/products/aashirvaad-atta-select.jpg,B,,,See product packaging,,India,10kg,MVC-aashirvaad-atta-select-10kg-v0,fresh_supplier
ashoka-chana-masala,ashoka-chana-masala-280g,GEN_ashoka-chana-masala_280g,,280,g,/images/products/ashoka-chana-masala.png,A,,,See product packaging,Store in a cool dry place,India,Default,ashoka-chana-masala-280g,depot_c
ashoka-dal-makhani,ashoka-dal-makhani-280g,GEN_ashoka-dal-makhani_280g,,280,g,/images/products/ashoka-dal-makhani.jpg,A,,milk,Contains milk; See product packaging,Store in a cool dry place,India,Default,ashoka-dal-makhani-280g,depot_c
ashoka-mutter-paneer,ashoka-mutter-paneer-280g,GEN_ashoka-mutter-paneer_280g,,280,g,/images/products/ashoka-mutter-paneer.png,A,gluten-free,milk,Contains milk; See product packaging,Store in a cool dry place,India,Default,ashoka-mutter-paneer-280g,depot_c
ashoka-palak-paneer,ashoka-palak-paneer-280g,GEN_ashoka-palak-paneer_280g,,280,g,/images/products/ashoka-palak-paneer.jpg,A,gluten-free,milk,Contains milk; See product packaging,Store in a cool dry place,India,Default,ashoka-palak-paneer-280g,depot_c
ashoka-rajma-masala,ashoka-rajma-masala-280g,GEN_ashoka-rajma-masala_280g,,280,g,/images/products/ashoka-rajma-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,ashoka-rajma-masala-280g,depot_c
bikaji-gulab-jamun-tin,bikaji-gulab-jamun-tin-1kg,GEN_bikaji-gulab-jamun-tin_1kg,,1,kg,/images/products/bikaji-gulab-jamun-tin.png,A,,milk,Contains milk,Store in a cool dry place,India,Default,bikaji-gulab-jamun-tin-1kg,depot_b
bikaji-khatta-meetha,bikaji-khatta-meetha-200g,GEN_bikaji-khatta-meetha_200g,,200,g,/images/products/bikaji-khatta-meetha.png,A,,,May contain peanuts,Store in a cool dry place,India,Default,bikaji-khatta-meetha-200g,depot_b
bikaji-soan-papdi,bikaji-soan-papdi-500g,GEN_bikaji-soan-papdi_500g,,500,g,/images/products/bikaji-soan-papdi.png,A,,milk;wheat,Contains milk and wheat,Store in a cool dry place,India,Default,bikaji-soan-papdi-500g,depot_b
britannia-good-day-butter-cookies,britannia-britannia-good-day-butter-cookies-150g,GEN_britannia-good-day-butter-cookies_150g,150g,150,g,/images/products/britannia-good-day-butter-cookies.jpg,B,,,See product packaging for full ingredients list,,India,150g,Britannia-britannia-good-day-butter-cookies-v0,depot_c
britannia-good-day-cashew-cookies,britannia-britannia-good-day-cashew-cookies-150g,GEN_britannia-good-day-cashew-cookies_150g,150g,150,g,/images/products/britannia-good-day-cashew-cookies.jpg,B,,,See product packaging for full ingredients list,,India,150g,Britannia-britannia-good-day-cashew-cookies-v0,depot_c
britannia-marie-gold,britannia-britannia-marie-gold-200g,GEN_britannia-marie-gold_200g,200g,200,g,/images/products/britannia-marie-gold.jpg,B,,,See product packaging for full ingredients list,,India,200g,Britannia-britannia-marie-gold-v0,depot_c
