variant_handle,vendor_handle,vendor_sku,cost_price_gbp,sourcing_depot,warehouse_aisle,lead_time_days,min_order_qty
hamdard-rooh-afza__generic-hamdard-rooh-afza-15l,multiple_suppliers,generic-generic-hamdard-rooh-afza-15l,,fresh_supplier,F1-F2,3,6,6
maaza-mango-drink__generic-maaza-mango-drink-1l,multiple_suppliers,generic-generic-maaza-mango-drink-1l,,fresh_supplier,F1-F2,3,6,6
aachi-kadugu-manga__aachi-kadugu-manga-300g,aachi_foods,aachi-aachi-kadugu-manga-300g,,default_depot,G1-G8,3,6,6
aachi-lemon-pickle__aachi-lemon-pickle-300g,aachi_foods,aachi-aachi-lemon-pickle-300g,,default_depot,G1-G8,3,6,6
aachi-mango-pickle__aachi-mango-pickle-500g,aachi_foods,aachi-aachi-mango-pickle-500g,,default_depot,G1-G8,3,6,6
aashirvaad-atta-select__aashirvaad-aashirvaad-atta-select-5kg,multiple_suppliers,aashirvaad-aashirvaad-aashirvaad-atta-select-5kg,,default_depot,G1-G8,3,6,6
aashirvaad-atta-select__aashirvaad-aashirvaad-atta-select-10kg,multiple_suppliers,aashirvaad-aashirvaad-aashirvaad-atta-select-10kg,,default_depot,G1-G8,3,6,6
amul-dark-chocolate__amul-dark-chocolate-150g,multiple_suppliers,amul-amul-dark-chocolate-150g,,default_depot,G1-G8,3,6,6
amul-pure-ghee__amul-ghee-1kg,multiple_suppliers,amul-amul-ghee-1kg,,default_depot,G1-G8,3,6,6
ashoka-bombay-potato__ashoka-bombay-potato-280g,ashoka_foods,ashoka-ashoka-bombay-potato-280g,,default_depot,G1-G8,3,6,6
ashoka-butter-chicken__ashoka-butter-chicken-280g,ashoka_foods,ashoka-ashoka-butter-chicken-280g,,default_depot,G1-G8,3,6,6
ashoka-chana-masala__ashoka-chana-masala-280g,ashoka_foods,ashoka-ashoka-chana-masala-280g,,default_depot,G1-G8,3,6,6
ashoka-dal-makhani__ashoka-dal-makhani-280g,ashoka_foods,ashoka-ashoka-dal-makhani-280g,,default_depot,G1-G8,3,6,6
ashoka-mutter-paneer__ashoka-mutter-paneer-280g,ashoka_foods,ashoka-ashoka-mutter-paneer-280g,,default_depot,G1-G8,3,6,6
ashoka-palak-paneer__ashoka-palak-paneer-280g,ashoka_foods,ashoka-ashoka-palak-paneer-280g,,default_depot,G1-G8,3,6,6
ashoka-rajma-masala__ashoka-rajma-masala-280g,ashoka_foods,ashoka-ashoka-rajma-masala-280g,,default_depot,G1-G8,3,6,6
ashoka-tarka-dhal__ashoka-tarka-dhal-280g,ashoka_foods,ashoka-ashoka-tarka-dhal-280g,,default_depot,G1-G8,3,6,6
bikaji-gulab-jamun-tin__bikaji-gulab-jamun-tin-1kg,bikaji_foods,bikaji-bikaji-gulab-jamun-tin-1kg,,default_depot,G1-G8,3,6,6
bikaji-khatta-meetha__bikaji-khatta-meetha-200g,bikaji_foods,bikaji-bikaji-khatta-meetha-200g,,default_depot,G1-G8,3,6,6
bikaji-soan-papdi__bikaji-soan-papdi-500g,bikaji_foods,bikaji-bikaji-soan-papdi-500g,,default_depot,G1-G8,3,6,6
bournvita__bournvita-500g,multiple_suppliers,bournvita-bournvita-500g,,default_depot,G1-G8,3,6,6
bovonto-grape-300ml-6pack__bovonto-grape-6pack,multiple_suppliers,bovonto-bovonto-grape-6pack,,default_depot,G1-G8,3,6,6
britannia-bourbon-cream__britannia-britannia-bourbon-cream-200g,britannia_ind,britannia-britannia-britannia-bourbon-cream-200g,,default_depot,G1-G8,3,6,6
britannia-good-day-butter-cookies__britannia-britannia-good-day-butter-cookies-150g,britannia_ind,britannia-britannia-britannia-good-day-butter-cookies-150g,,default_depot,G1-G8,3,6,6
britannia-good-day-cashew-cookies__britannia-britannia-good-day-cashew-cookies-150g,britannia_ind,britannia-britannia-britannia-good-day-cashew-cookies-150g,,default_depot,G1-G8,3,6,6
britannia-marie-gold__britannia-britannia-marie-gold-200g,britannia_ind,britannia-britannia-britannia-marie-gold-200g,,default_depot,G1-G8,3,6,6
brooke-bond-red-label__brooke-bond-tea-500g,multiple_suppliers,brooke-bond-brooke-bond-tea-500g,,default_depot,G1-G8,3,6,6
brooke-bond-red-label__brooke-bond-tea-1kg,multiple_suppliers,brooke-bond-brooke-bond-tea-1kg,,default_depot,G1-G8,3,6,6
bru-instant-coffee__bru-coffee-100g,multiple_suppliers,bru-bru-coffee-100g,,default_depot,G1-G8,3,6,6
cadbury-5star-import-6pack__cadbury-5star-6pack,mondelez_india,cadbury-cadbury-5star-6pack,,default_depot,G1-G8,3,6,6
cadbury-gems-import-6pack__cadbury-gems-6pack,mondelez_india,cadbury-cadbury-gems-6pack,,default_depot,G1-G8,3,6,6
cadbury-perk-import-6pack__cadbury-perk-6pack,mondelez_india,cadbury-cadbury-perk-6pack,,default_depot,G1-G8,3,6,6
chings-hakka-noodles__chings-hakka-noodles-240g,multiple_suppliers,chings-secret-chings-hakka-noodles-240g,,default_depot,G1-G8,3,6,6
chings-schezwan-noodles__chings-schezwan-noodles-240g,multiple_suppliers,chings-secret-chings-schezwan-noodles-240g,,default_depot,G1-G8,3,6,6
chings-schezwan-sauce__chings-schezwan-sauce-250g,multiple_suppliers,chings-secret-chings-schezwan-sauce-250g,,default_depot,G1-G8,3,6,6
daawat-rozana-basmati__daawat-daawat-rozana-basmati-5kg,multiple_suppliers,daawat-daawat-daawat-rozana-basmati-5kg,,default_depot,G1-G8,3,6,6
dabur-chyawanprash__dabur-chyawanprash-500g,multiple_suppliers,dabur-dabur-chyawanprash-500g,,default_depot,G1-G8,3,6,6
east-end-chana-dal__east-end-chana-dal-2kg,east_end_foods,east-end-east-end-chana-dal-2kg,,default_depot,G1-G8,3,6,6
east-end-coriander-powder__east-end-coriander-powder-400g,east_end_foods,east-end-east-end-coriander-powder-400g,,default_depot,G1-G8,3,6,6
east-end-ginger-garlic-paste__east-end-gg-paste-1kg,east_end_foods,east-end-east-end-gg-paste-1kg,,default_depot,G1-G8,3,6,6
east-end-kabuli-chana__east-end-kabuli-chana-2kg,east_end_foods,east-end-east-end-kabuli-chana-2kg,,default_depot,G1-G8,3,6,6
east-end-kashmiri-chilli__east-end-kashmiri-chilli-200g,east_end_foods,east-end-east-end-kashmiri-chilli-200g,,default_depot,G1-G8,3,6,6
